序号,开始时间,结束时间,查询粒度,网元位置,磁盘总容量(MB),磁盘剩余容量(MB)
1,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_2",80119116,24694149
2,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-1",56270601,10544008
3,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-1",61039296,12093959
4,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,pdpop2-3",123993870,70541858
5,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-3",123993870,57332066
6,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop3-1",76303920,15294917
7,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,ZXUSS_VS8000CID=高生直播转码,5722794,4507368
8,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-2",110640684,23138465
9,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-2",122086272,28025185
10,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-2",78211518,15238978
11,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-2",120178674,47994685
12,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-1",125901468,45640682
13,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-1",64854612,22848896
14,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-1",63900633,22472653
15,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-4",125901468,45265477
16,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-2",110640684,33606101
17,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-2",110640684,54279124
18,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-1",123993870,42280380
19,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-1",116363478,40796007
20,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-7",125901468,41657430
21,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_1",80119159,24403408
22,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-1",87749508,31083883
23,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-2",125901468,45230470
24,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-1",60085557,16824322
25,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_1",87749508,30783782
26,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-4",125901468,43390302
27,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-qy",112548282,39144541
28,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-qy",121132413,57215173
29,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-4",114455880,43859014
30,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-qy",122086272,44916001
31,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-3",125901468,51854754
32,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-8",125871661,44204317
33,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-3",125901468,47063655
34,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-1",101102694,36073321
35,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-4",123993870,40359719
36,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-5",123993870,45133852
37,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-qy",91564704,37298431
38,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_qy",91564704,14039488
39,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-2",125901468,41875812
40,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-2",120178674,59054941
41,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-3",114455880,23817551
42,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-1",61993275,20530528
43,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-1",60085557,21087207
44,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_qy",101102694,22563095
45,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-2",122086272,43614994
46,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=cmpop4-1",78211518,27401906
47,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-3",116363478,44306519
48,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-6",123993870,39972966
