序号,开始时间,结束时间,查询粒度,网元位置,总容量(MB),剩余容量(MB)
1,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,764693
2,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,955663
3,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
4,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
5,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,763839
6,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,787432
7,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
8,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,763560
9,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,865297
10,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
11,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"七期扩容,dqpop6-4",3813612,3245564
12,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"七期扩容,dqpop6-2",3813658,840630
13,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,792030
14,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,核心8000H,15254336,7699530
15,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,757807
16,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
17,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,814588
18,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,838874
19,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,790888
20,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,837017
21,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,812515
22,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,761418
23,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
24,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,864364
25,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,761505
26,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
27,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,761025
28,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"七期扩容,dqpop6-4",3813612,3243390
29,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,核心8000H,15254336,7694287
30,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,785537
31,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
32,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"七期扩容,dqpop6-2",3813658,839511
33,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
34,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
35,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,756060
