POP点,设备名,设备IP,告警ID,告警参数描述,告警模块,告警级别,告警时间
核心节点,S2300-A,124.75.34.114,None,获取设备运行信息失败,重要,---,32
核心节点,S2300-B,124.75.34.115,None,获取设备运行信息失败,重要,---,32
核心节点,S2300-1-A,222.68.216.26,None,获取设备运行信息失败,重要,---,32
核心节点,S2300-1-B,222.68.216.27,None,获取设备运行信息失败,重要,---,32
核心节点,S2300-2-A,222.68.216.28,None,获取设备运行信息失败,重要,---,32
核心节点,S2300-2-B,222.68.216.29,None,获取设备运行信息失败,重要,---,32
核心节点,S2300-3-A,222.68.216.30,None,获取设备运行信息失败,重要,---,32
核心节点,S2300-3-B,222.68.216.31,None,获取设备运行信息失败,重要,---,32
核心节点,S2300-4-A,222.68.216.32,None,获取设备运行信息失败,重要,---,32
核心节点,S2300-4-B,222.68.216.33,None,获取设备运行信息失败,重要,---,32
核心节点,S2300-5-A,222.68.216.34,None,获取设备运行信息失败,重要,---,32
核心节点,S2300-5-B,222.68.216.35,None,获取设备运行信息失败,重要,---,32
宝山区域,S2300-1-A,124.75.36.37,None,获取设备运行信息失败,重要,---,32
宝山区域,S2300-1-B,124.75.36.38,None,获取设备运行信息失败,重要,---,32
宝山边缘3,S2300-1-A,222.68.217.55,None,获取设备运行信息失败,重要,---,32
宝山边缘3,S2300-1-B,222.68.217.56,None,获取设备运行信息失败,重要,---,32
宝山边缘3,S2300-2-A,222.68.217.57,None,获取设备运行信息失败,重要,---,32
宝山边缘3,S2300-2-B,222.68.217.58,None,获取设备运行信息失败,重要,---,32
宝山边缘3,S2300-3-A,222.68.217.59,None,获取设备运行信息失败,重要,---,32
宝山边缘3,S2300-3-B,222.68.217.60,None,获取设备运行信息失败,重要,---,32
宝山边缘3,S2300-4-A,222.68.217.61,None,获取设备运行信息失败,重要,---,32
宝山边缘3,S2300-4-B,222.68.217.62,None,获取设备运行信息失败,重要,---,32
宝山边缘4,S2300-1-A,222.68.205.181,None,获取设备运行信息失败,重要,---,32
宝山边缘4,S2300-1-B,222.68.205.182,None,获取设备运行信息失败,重要,---,32
宝山边缘4,S2300-2-A,222.68.205.183,None,获取设备运行信息失败,重要,---,32
宝山边缘4,S2300-2-B,222.68.205.184,None,获取设备运行信息失败,重要,---,32
宝山边缘4,S2300-3-A,222.68.205.185,None,获取设备运行信息失败,重要,---,32
宝山边缘4,S2300-3-B,222.68.205.186,None,获取设备运行信息失败,重要,---,32
宝山边缘4,S2300-4-A,222.68.205.187,None,获取设备运行信息失败,重要,---,32
宝山边缘4,S2300-4-B,222.68.205.188,None,获取设备运行信息失败,重要,---,32
宝山边缘4,S2300-5-A,222.68.205.189,None,获取设备运行信息失败,重要,---,32
宝山边缘4,S2300-5-B,222.68.205.190,None,获取设备运行信息失败,重要,---,32
宝山边缘5,S2300-1-A,218.83.182.143,None,获取设备运行信息失败,重要,---,32
宝山边缘5,S2300-1-B,218.83.182.144,None,获取设备运行信息失败,重要,---,32
宝山边缘5,S2300-2-A,218.83.182.145,None,获取设备运行信息失败,重要,---,32
宝山边缘5,S2300-2-B,218.83.182.146,None,获取设备运行信息失败,重要,---,32
宝山边缘5,S2300-3-A,218.83.182.147,None,获取设备运行信息失败,重要,---,32
宝山边缘5,S2300-3-B,218.83.182.148,None,获取设备运行信息失败,重要,---,32
宝山边缘6,S2300-1-A,218.83.182.207,None,获取设备运行信息失败,重要,---,32
宝山边缘6,S2300-1-B,218.83.182.208,None,获取设备运行信息失败,重要,---,32
宝山边缘6,S2300-2-A,218.83.182.209,None,获取设备运行信息失败,重要,---,32
宝山边缘6,S2300-2-B,218.83.182.210,None,获取设备运行信息失败,重要,---,32
宝山边缘6,S2300-3-A,218.83.182.211,None,获取设备运行信息失败,重要,---,32
宝山边缘6,S2300-3-B,218.83.182.212,None,获取设备运行信息失败,重要,---,32
宝山边缘7,S2300-1-A,218.83.168.174,None,获取设备运行信息失败,重要,---,32
宝山边缘7,S2300-1-B,218.83.168.175,None,获取设备运行信息失败,重要,---,32
宝山边缘7,S2300-2-A,218.83.168.176,None,获取设备运行信息失败,重要,---,32
宝山边缘7,S2300-2-B,218.83.168.177,None,获取设备运行信息失败,重要,---,32
宝山边缘7,S2300-3-A,218.83.168.178,None,获取设备运行信息失败,重要,---,32
宝山边缘7,S2300-3-B,218.83.168.179,None,获取设备运行信息失败,重要,---,32
南区区域,S2300-1-A,124.75.38.37,None,获取设备运行信息失败,重要,---,32
南区区域,S2300-1-B,124.75.38.38,None,获取设备运行信息失败,重要,---,32
南区区域,S2300-2-A,124.75.38.39,None,获取设备运行信息失败,重要,---,32
南区区域,S2300-2-B,124.75.38.40,None,获取设备运行信息失败,重要,---,32
南区区域,S2300-3-A,124.75.38.41,None,获取设备运行信息失败,重要,---,32
南区区域,S2300-3-B,124.75.38.42,None,获取设备运行信息失败,重要,---,32
南区边缘3,S2300-1-A,222.68.217.162,None,获取设备运行信息失败,重要,---,32
南区边缘3,S2300-1-B,222.68.217.163,None,获取设备运行信息失败,重要,---,32
南区边缘3,S2300-2-A,222.68.217.164,None,获取设备运行信息失败,重要,---,32
南区边缘3,S2300-2-B,222.68.217.165,None,获取设备运行信息失败,重要,---,32
南区边缘3,S2300-3-A,222.68.217.166,None,获取设备运行信息失败,重要,---,32
南区边缘3,S2300-3-B,222.68.217.167,None,获取设备运行信息失败,重要,---,32
南区边缘3,S2300-4-A,222.68.217.168,None,获取设备运行信息失败,重要,---,32
南区边缘3,S2300-4-B,222.68.217.169,None,获取设备运行信息失败,重要,---,32
南区边缘3,S2300-5-A,222.68.217.170,None,获取设备运行信息失败,重要,---,32
南区边缘3,S2300-5-B,222.68.217.171,None,获取设备运行信息失败,重要,---,32
南区边缘3,S2300-6-A,222.68.217.153,None,获取设备运行信息失败,重要,---,32
南区边缘3,S2300-6-B,222.68.217.154,None,获取设备运行信息失败,重要,---,32
南区边缘4,S2300-1-A,222.68.205.53,None,获取设备运行信息失败,重要,---,32
南区边缘4,S2300-1-B,222.68.205.54,None,获取设备运行信息失败,重要,---,32
南区边缘4,S2300-2-A,222.68.205.55,None,获取设备运行信息失败,重要,---,32
南区边缘4,S2300-2-B,222.68.205.56,None,获取设备运行信息失败,重要,---,32
南区边缘4,S2300-3-A,222.68.205.57,None,获取设备运行信息失败,重要,---,32
南区边缘4,S2300-3-B,222.68.205.58,None,获取设备运行信息失败,重要,---,32
南区边缘4,S2300-4-A,222.68.205.59,None,获取设备运行信息失败,重要,---,32
南区边缘4,S2300-4-B,222.68.205.60,None,获取设备运行信息失败,重要,---,32
南区边缘4,S2300-5-A,222.68.205.61,None,获取设备运行信息失败,重要,---,32
南区边缘4,S2300-5-B,222.68.205.62,None,获取设备运行信息失败,重要,---,32
南区边缘5,S2300-1-A,218.83.183.15,None,获取设备运行信息失败,重要,---,32
南区边缘5,S2300-1-B,218.83.183.16,None,获取设备运行信息失败,重要,---,32
南区边缘5,S2300-2-A,218.83.183.17,None,获取设备运行信息失败,重要,---,32
南区边缘5,S2300-2-B,218.83.183.18,None,获取设备运行信息失败,重要,---,32
南区边缘5,S2300-3-A,218.83.183.19,None,获取设备运行信息失败,重要,---,32
南区边缘5,S2300-3-B,218.83.183.20,None,获取设备运行信息失败,重要,---,32
南区边缘5,S2300-4-A,218.83.183.23,None,获取设备运行信息失败,重要,---,32
南区边缘5,S2300-4-B,218.83.183.24,None,获取设备运行信息失败,重要,---,32
南区边缘5,S2300-5-A,218.83.183.25,None,获取设备运行信息失败,重要,---,32
南区边缘5,S2300-5-B,218.83.183.26,None,获取设备运行信息失败,重要,---,32
南区边缘6,S2300-1-A,218.83.183.79,None,获取设备运行信息失败,重要,---,32
南区边缘6,S2300-1-B,218.83.183.80,None,获取设备运行信息失败,重要,---,32
南区边缘6,S2300-2-A,218.83.183.81,None,获取设备运行信息失败,重要,---,32
南区边缘6,S2300-2-B,218.83.183.82,None,获取设备运行信息失败,重要,---,32
南区边缘6,S2300-3-A,218.83.183.83,None,获取设备运行信息失败,重要,---,32
南区边缘6,S2300-3-B,218.83.183.84,None,获取设备运行信息失败,重要,---,32
南区边缘6,S2300-4-A,218.83.183.87,None,获取设备运行信息失败,重要,---,32
南区边缘6,S2300-4-B,218.83.183.88,None,获取设备运行信息失败,重要,---,32
南区边缘6,S2300-5-A,218.83.183.89,None,获取设备运行信息失败,重要,---,32
南区边缘6,S2300-5-B,218.83.183.90,None,获取设备运行信息失败,重要,---,32
南区边缘7,S2300-1-A,222.69.157.110,None,获取设备运行信息失败,重要,---,32
南区边缘7,S2300-1-B,222.69.157.111,None,获取设备运行信息失败,重要,---,32
南区边缘7,S2300-2-A,222.69.157.112,None,获取设备运行信息失败,重要,---,32
南区边缘7,S2300-2-B,222.69.157.113,None,获取设备运行信息失败,重要,---,32
南区边缘7,S2300-3-A,222.69.157.114,None,获取设备运行信息失败,重要,---,32
南区边缘7,S2300-3-B,222.69.157.115,None,获取设备运行信息失败,重要,---,32
浦东区域,S2300-1-A,218.83.180.21,None,获取设备运行信息失败,重要,---,32
浦东区域,S2300-1-B,218.83.180.22,None,获取设备运行信息失败,重要,---,32
浦东区域,S2300-2-A,218.83.180.23,None,获取设备运行信息失败,重要,---,32
浦东区域,S2300-2-B,218.83.180.24,None,获取设备运行信息失败,重要,---,32
浦东区域,S2300-3-A,218.83.180.25,None,获取设备运行信息失败,重要,---,32
浦东区域,S2300-3-B,218.83.180.26,None,获取设备运行信息失败,重要,---,32
浦东边缘1,S2300-1-A,222.68.218.55,None,获取设备运行信息失败,重要,---,32
浦东边缘1,S2300-1-B,222.68.218.56,None,获取设备运行信息失败,重要,---,32
浦东边缘1,S2300-2-A,222.68.218.57,None,获取设备运行信息失败,重要,---,32
浦东边缘1,S2300-2-B,222.68.218.58,None,获取设备运行信息失败,重要,---,32
浦东边缘1,S2300-3-A,222.68.218.59,None,获取设备运行信息失败,重要,---,32
浦东边缘1,S2300-3-B,222.68.218.60,None,获取设备运行信息失败,重要,---,32
浦东边缘1,S2300-4-A,222.68.218.61,None,获取设备运行信息失败,重要,---,32
浦东边缘1,S2300-4-B,222.68.218.62,None,获取设备运行信息失败,重要,---,32
浦东边缘1,S2300-5-A,222.68.218.53,None,获取设备运行信息失败,重要,---,32
浦东边缘1,S2300-5-B,222.68.218.54,None,获取设备运行信息失败,重要,---,32
浦东边缘1,S2300-1-A,222.68.218.183,None,获取设备运行信息失败,重要,---,32
