POP名,设备IP,设备类型,单板类型,操作系统,磁盘大小,内存大小,CPU主频,自定义脚本版本,业务版本
CenterNode,101.95.77.233,epg,R3,11.1,222GB,23GB,2.40GHz*8,---,EPG:,0
CenterNode,101.95.77.234,epg,R3,11.1,222GB,23GB,2.40GHz*8,---,EPG:,0
CenterNode,124.75.34.10,acs,R2,10.1,60GB,8GB,2.13GHz*4,acs:2.1,ACS:IPTV-MEM-V100R003C60LSHD01,0
CenterNode,124.75.34.107,mgmt,R2PLUS,10.1,128GB,8GB,2.33GHz*4,---,MGMT:IPTV-MEM-V100R003C60LSHD01,0
CenterNode,124.75.34.109,eds,R2PLUS,10.1,128GB,16GB,2.33GHz*4,eds:2.1,EDS:IPTV-MEM-V100R003C60LSHD01,0
CenterNode,124.75.34.110,eds,R2PLUS,10.1,128GB,8GB,2.33GHz*4,eds:2015.09.18.0935,EDS:IPTV-MEM-V100R003C60LSHD01,0
CenterNode,124.75.34.119,hms,R2PLUS,10.1,9313GB,16GB,2.33GHz*4,hms: V1.03,HMS:V100R003C06B635SPC012,0
CenterNode,124.75.34.12,rrs,R3,11.1,222GB,23GB,2.40GHz*8,---,RRS:V100R003C06B635SPC011,0
CenterNode,124.75.34.120,hms,R2PLUS,10.1,9313GB,16GB,2.33GHz*4,hms: V1.03,HMS:V100R003C06B635SPC012,0
CenterNode,124.75.34.125,epg,R2,11.1,59GB,4GB,2.13GHz*2,epg:2.1,EPG:IPTV-MEM-V100R003C60LSHD01,0
CenterNode,124.75.34.13,rrs,R3,11.1,222GB,23GB,2.40GHz*8,---,RRS:V100R003C06B635SPC011,0
CenterNode,124.75.34.22,hms,---,---,---,---,---,---,---,0
CenterNode,124.75.34.24,hms,R2PLUS,10.1,9313GB,16GB,2.33GHz*4,hms: V1.03,HMS:V100R003C06B635SPC012,0
CenterNode,124.75.34.25,hms,R2PLUS,10.1,9313GB,16GB,2.33GHz*4,hms: V1.03,HMS:V100R003C06B635SPC012,0
CenterNode,124.75.34.26,hms,R2PLUS,10.1,9313GB,16GB,2.33GHz*4,hms: V1.03,HMS:V100R003C06B635SPC012,0
CenterNode,124.75.34.27,hms,R2PLUS,10.1,9313GB,16GB,2.33GHz*4,hms: V1.03,HMS:V100R003C06B635SPC012,0
CenterNode,124.75.34.28,hms,R2PLUS,10.1,9313GB,16GB,2.33GHz*4,hms: V1.03,HMS:V100R003C06B635SPC012,0
CenterNode,124.75.34.29,hms,R2PLUS,10.1,9313GB,16GB,2.33GHz*4,hms: V1.03,HMS:V100R003C06B635SPC012,0
CenterNode,124.75.34.30,hms,R2PLUS,10.1,9313GB,16GB,2.33GHz*4,hms: V1.03,HMS:V100R003C06B635SPC012,0
CenterNode,124.75.34.31,um,R2,10.1,60GB,8GB,2.13GHz*4,---,UM:,0
CenterNode,124.75.34.32,um,R2,10.1,60GB,8GB,2.13GHz*4,---,UM:,0
CenterNode,124.75.34.35,um,R2,11.1,59GB,7GB,2.13GHz*4,---,UM:V100R003C06B633,0
CenterNode,124.75.34.36,um,R2,11.1,59GB,7GB,2.13GHz*4,---,UM:V100R003C06B633,0
CenterNode,124.75.34.40,cmi,R2PLUS,10.2,128GB,8GB,2.13GHz*4,---,CMI:V100R003C06B635SPC012,0
CenterNode,124.75.34.60,mc,R2,11.1,59GB,7GB,2.13GHz*4,---,MC:V100R003C06B635SPC012,0
CenterNode,124.75.34.8,hms,R3,11.1,46245GB,47GB,2.40GHz*8,---,HMS:V100R003C06B635SPC012,0
CenterNode,124.75.34.9,acs,R2,10.1,60GB,8GB,2.13GHz*4,acs:2.1,ACS:IPTV-MEM-V100R003C60LSHD01,0
CenterNode,124.75.34.97,mm,R2PLUS,10.1,129GB,8GB,2.13GHz*4,---,MM:V100R003C06B635SPC012,0
CenterNode,124.75.34.98,mm,R2PLUS,10.1,129GB,8GB,2.13GHz*4,---,MM:V100R003C06B635SPC012,0
CenterNode,124.75.35.118,epg,R2,10.1,60GB,8GB,2.13GHz*4,epg:2.1,EPG:IPTV-MEM-V100R003C60LSHD01,0
CenterNode,124.75.35.119,epg,R2,10.1,60GB,8GB,2.13GHz*4,epg:2.1,EPG:IPTV-MEM-V100R003C60LSHD01,0
CenterNode,124.75.35.120,epg,R2,10.1,60GB,8GB,2.13GHz*4,epg:2.1,EPG:IPTV-MEM-V100R003C60LSHD01,0
CenterNode,124.75.35.121,epg,R2,10.1,60GB,8GB,2.13GHz*4,epg:2.1,EPG:IPTV-MEM-V100R003C60LSHD01,0
CenterNode,124.75.35.15,upgrade,R2,11.1,59GB,7GB,2.13GHz*4,upgrade:2.1,UPGRADE:,0
CenterNode,218.83.180.54,upgrade,---,---,---,---,---,---,---,0
SUB1_BS,10.192.84.169,hms,R3,11.1,27909GB,47GB,2.40GHz*8,---,HMS:V100R003C06B635SPC012,0
SUB1_BS,10.192.84.170,hms,R3,11.1,28139GB,47GB,2.40GHz*8,---,HMS:V100R003C06B635SPC012,0
SUB1_BS,124.75.36.32,hms,R2PLUS,10.1,9313GB,16GB,2.33GHz*4,hms: V1.03,HMS:V100R003C06B635SPC012,0
SUB1_BS,124.75.36.33,hms,R2PLUS,10.1,9313GB,16GB,2.33GHz*4,hms: V1.03,HMS:V100R003C06B635SPC012,0
SUB1_BS,124.75.36.43,hms,R2,10.1,9244GB,8GB,2.13GHz*4,---,HMS:V100R003C06B635SPC012,0
SUB1_BS,124.75.36.44,hms,R2,10.1,9244GB,8GB,2.13GHz*4,---,HMS:V100R003C06B635SPC012,0
