设备IP,数据库实例,检查项,检查结果值,描述,状态
124.75.34.102,iptvmdn,current sessions,53,max:1024,OK,0
124.75.34.102,iptvmdn,cpu idle,99,min:15,OK,0
124.75.34.102,iptvmdn,invalid objects,0,threshold:0,OK,0
124.75.34.102,iptvmdn,unusable index,0,threshold:0,OK,0
124.75.34.102,iptvmdn,unusable partition,0,threshold:0,OK,0
124.75.34.102,iptvmdn,broken job,0,threshold:0,OK,0
124.75.34.102,iptvmdn,process number,53/1024,threshold:90,OK,0
124.75.34.102,iptvmdn,audit,DB,udit_trail:NONE;FALSE,WARN,40
124.75.34.108,iptvmem,current sessions,121,max:1024,OK,0
124.75.34.108,iptvmem,cpu idle,99,min:15,OK,0
124.75.34.108,iptvmem,invalid objects,15,threshold:0,WARN,40
124.75.34.108,iptvmem,unusable index,0,threshold:0,OK,0
124.75.34.108,iptvmem,unusable partition,0,threshold:0,OK,0
124.75.34.108,iptvmem,broken job,0,threshold:0,OK,0
124.75.34.108,iptvmem,process number,121/1024,threshold:90,OK,0
124.75.34.108,iptvmem,audit,NONE,udit_trail:NONE;FALSE,OK,0
124.75.34.41,i2kdb,current sessions,85,max:1024,OK,0
124.75.34.41,i2kdb,cpu idle,84,min:15,OK,0
124.75.34.41,i2kdb,invalid objects,0,threshold:0,OK,0
124.75.34.41,i2kdb,unusable index,0,threshold:0,OK,0
124.75.34.41,i2kdb,unusable partition,0,threshold:0,OK,0
124.75.34.41,i2kdb,broken job,0,threshold:0,OK,0
124.75.34.41,i2kdb,process number,85/1024,threshold:90,OK,0
124.75.34.41,i2kdb,audit,NONE,udit_trail:NONE;FALSE,OK,0
124.75.34.95,iptvcms,current sessions,52,max:1024,OK,0
124.75.34.95,iptvcms,cpu idle,99,min:15,OK,0
124.75.34.95,iptvcms,invalid objects,0,threshold:0,OK,0
124.75.34.95,iptvcms,unusable index,0,threshold:0,OK,0
124.75.34.95,iptvcms,unusable partition,0,threshold:0,OK,0
124.75.34.95,iptvcms,broken job,0,threshold:0,OK,0
124.75.34.95,iptvcms,process number,52/1024,threshold:90,OK,0
124.75.34.95,iptvcms,audit,OS,udit_trail:NONE;FALSE,WARN,40
