设备IP,数据库版本,数据库实例,表空间,总大小(MB),拓展总大小(MB),已用大小(MB),占用率,拓展占用率,状态
124.75.34.102,11.2.0.3.0,iptvmdn,IPTVMDN,14800,300000,7802,52.7%,2.5%,OK,0
124.75.34.102,11.2.0.3.0,iptvmdn,SYSAUX,1070,32768,995,93.0%,2.9%,WARN,640
124.75.34.102,11.2.0.3.0,iptvmdn,SYSTEM,900,32768,898,99.8%,2.7%,WARN,640
124.75.34.102,11.2.0.3.0,iptvmdn,UNDOTBS1,790,32768,240,30.4%,0.7%,OK,0
124.75.34.102,11.2.0.3.0,iptvmdn,USERS,5,32768,1,20.0%,0.0%,OK,0
124.75.34.108,11.2.0.3.0,iptvmem,IPTVMEM,6668,200000,6347,95.2%,3.1%,WARN,640
124.75.34.108,11.2.0.3.0,iptvmem,SYSAUX,900,32768,805,89.4%,2.4%,WARN,640
124.75.34.108,11.2.0.3.0,iptvmem,SYSTEM,730,32768,727,99.6%,2.2%,WARN,640
124.75.34.108,11.2.0.3.0,iptvmem,UNDOTBS1,240,32768,58,24.2%,0.2%,OK,0
124.75.34.108,11.2.0.3.0,iptvmem,IPTVMEMINDEX,200,200000,10,5.0%,0.0%,OK,0
124.75.34.108,11.2.0.3.0,iptvmem,USERS,5,32768,1,20.0%,0.0%,OK,0
124.75.34.41,11.2.0.3.0,i2kdb,OMSPM,30000,30000,18603,62.0%,31.0%,OK,0
124.75.34.41,11.2.0.3.0,i2kdb,OMSFM,1032,10000,982,95.2%,8.9%,WARN,640
124.75.34.41,11.2.0.3.0,i2kdb,SYSAUX,4096,32768,850,20.8%,2.3%,OK,0
124.75.34.41,11.2.0.3.0,i2kdb,SYSTEM,760,32768,754,99.2%,2.2%,WARN,640
124.75.34.41,11.2.0.3.0,i2kdb,OMSSM,235,5000,224,95.3%,4.3%,WARN,640
124.75.34.41,11.2.0.3.0,i2kdb,OMSCM,2500,5000,189,7.6%,2.5%,OK,0
124.75.34.41,11.2.0.3.0,i2kdb,OMSMODEL,124,2000,117,94.3%,5.5%,WARN,640
124.75.34.41,11.2.0.3.0,i2kdb,UNDOTBS1,735,32768,64,8.7%,0.2%,OK,0
124.75.34.41,11.2.0.3.0,i2kdb,OMU,1000,5000,14,1.4%,0.2%,OK,0
124.75.34.41,11.2.0.3.0,i2kdb,IEMPEAM,100,500,7,7.0%,1.2%,OK,0
124.75.34.41,11.2.0.3.0,i2kdb,OMSSYS,200,3000,3,1.5%,0.1%,OK,0
124.75.34.41,11.2.0.3.0,i2kdb,OMSROLLBACK,100,2048,2,2.0%,0.1%,OK,0
124.75.34.41,11.2.0.3.0,i2kdb,USERS,5,32768,1,20.0%,0.0%,OK,0
124.75.34.95,11.2.0.3.0,iptvcms,IPTVCMS,29100,120000,23787,81.7%,16.0%,WARN,640
124.75.34.95,11.2.0.3.0,iptvcms,SYSAUX,820,32768,756,92.2%,2.3%,WARN,640
124.75.34.95,11.2.0.3.0,iptvcms,SYSTEM,740,32768,734,99.2%,2.2%,WARN,640
124.75.34.95,11.2.0.3.0,iptvcms,UNDOTBS1,2375,32768,65,2.7%,0.2%,OK,0
124.75.34.95,11.2.0.3.0,iptvcms,USERS,5,32768,1,20.0%,0.0%,OK,0
