POP点,设备IP,设备类型,目录,总大小(MB),已用大小(MB),占用率,INODE占用率,状态
CenterNode,101.95.77.233,epg,/home,116917,43468,40%,12%,OK,0
CenterNode,101.95.77.233,epg,/opt,80638,533,1%,1%,OK,0
CenterNode,101.95.77.233,epg,/home/huawei/iptv/iagent/,500,2,0%,0%,OK,0
CenterNode,101.95.77.233,epg,/,30244,3902,14%,8%,OK,0
CenterNode,101.95.77.233,epg,/dev,12013,0,1%,0%,OK,0
CenterNode,101.95.77.233,epg,/dev/shm,12013,0,0%,1%,OK,0
CenterNode,101.95.77.234,epg,/home,116917,43454,40%,12%,OK,0
CenterNode,101.95.77.234,epg,/opt,80638,531,1%,1%,OK,0
CenterNode,101.95.77.234,epg,/home/huawei/iptv/iagent/,500,2,0%,0%,OK,0
CenterNode,101.95.77.234,epg,/,30244,3913,14%,8%,OK,0
CenterNode,101.95.77.234,epg,/dev,12013,0,1%,0%,OK,0
CenterNode,101.95.77.234,epg,/dev/shm,12013,0,0%,1%,OK,0
CenterNode,124.75.34.10,acs,/home/huawei/iptv/iagent/,500,6,1%,0%,OK,0
CenterNode,124.75.34.10,acs,/,61873,19065,31%,0%,OK,0
CenterNode,124.75.34.10,acs,/dev,3996,0,1%,1%,OK,0
CenterNode,124.75.34.10,acs,/dev/shm,11264,0,0%,1%,OK,0
CenterNode,124.75.34.107,mgmt,/opt,51206,17282,34%,0%,OK,0
CenterNode,124.75.34.107,mgmt,/dev/shm,11264,0,1%,1%,OK,0
CenterNode,124.75.34.107,mgmt,/home/huawei/iptv/iagent/,500,3,1%,0%,OK,0
CenterNode,124.75.34.107,mgmt,/,30725,13741,45%,0%,OK,0
CenterNode,124.75.34.107,mgmt,/dev,3953,0,1%,1%,OK,0
CenterNode,124.75.34.107,mgmt,/home,49158,40993,84%,0%,WARN,320
CenterNode,124.75.34.109,eds,/opt,51206,924,2%,0%,OK,0
CenterNode,124.75.34.109,eds,/dev/shm,17408,0,1%,1%,OK,0
CenterNode,124.75.34.109,eds,/home/huawei/iptv/iagent/,500,3,1%,0%,OK,0
CenterNode,124.75.34.109,eds,/,30725,3723,13%,0%,OK,0
CenterNode,124.75.34.109,eds,/dev,7987,0,1%,1%,OK,0
CenterNode,124.75.34.109,eds,/home,49158,5019,11%,0%,OK,0
CenterNode,124.75.34.110,eds,/opt,51206,926,2%,0%,OK,0
CenterNode,124.75.34.110,eds,/dev/shm,11264,0,1%,1%,OK,0
CenterNode,124.75.34.110,eds,/home/huawei/iptv/iagent/,500,3,1%,0%,OK,0
CenterNode,124.75.34.110,eds,/,30725,3479,12%,0%,OK,0
CenterNode,124.75.34.110,eds,/dev,3953,0,1%,1%,OK,0
CenterNode,124.75.34.110,eds,/home,49158,15870,33%,0%,OK,0
CenterNode,124.75.34.119,hms,/opt,51206,955,2%,0%,OK,0
CenterNode,124.75.34.119,hms,/dev/shm,17408,0,1%,1%,OK,0
CenterNode,124.75.34.119,hms,/home/hms/data/c,3145597,1440890,46%,1%,OK,0
CenterNode,124.75.34.119,hms,/home/hms/data/d,3145597,2700400,86%,1%,WARN,320
CenterNode,124.75.34.119,hms,/home/hms/data/e,3113852,2683793,87%,1%,WARN,320
CenterNode,124.75.34.119,hms,/home/hms/data/PLTV,121,4,4%,1%,OK,0
CenterNode,124.75.34.119,hms,/home/huawei/iptv/iagent/,500,3,1%,0%,OK,0
CenterNode,124.75.34.119,hms,/,30725,3481,12%,0%,OK,0
CenterNode,124.75.34.119,hms,/dev,7987,0,1%,1%,OK,0
CenterNode,124.75.34.119,hms,/home,49158,8900,19%,0%,OK,0
CenterNode,124.75.34.12,rrs,/home,116917,8652,8%,1%,OK,0
CenterNode,124.75.34.12,rrs,/opt,80638,2369,4%,1%,OK,0
CenterNode,124.75.34.12,rrs,/home/huawei/iptv/iagent/,500,104,21%,0%,OK,0
CenterNode,124.75.34.12,rrs,/,30244,11430,40%,10%,OK,0
CenterNode,124.75.34.12,rrs,/dev,11821,0,1%,0%,OK,0
CenterNode,124.75.34.12,rrs,/dev/shm,11821,16,1%,1%,OK,0
CenterNode,124.75.34.120,hms,/opt,51206,955,2%,0%,OK,0
CenterNode,124.75.34.120,hms,/dev/shm,17408,0,1%,1%,OK,0
CenterNode,124.75.34.120,hms,/home/hms/data/c,3145597,1839510,59%,1%,OK,0
CenterNode,124.75.34.120,hms,/home/hms/data/d,3145597,2759118,88%,1%,WARN,320
CenterNode,124.75.34.120,hms,/home/hms/data/e,3113852,2705802,87%,1%,WARN,320
CenterNode,124.75.34.120,hms,/home/hms/data/PLTV,121,4,4%,1%,OK,0
CenterNode,124.75.34.120,hms,/home/huawei/iptv/iagent/,500,3,1%,0%,OK,0
CenterNode,124.75.34.120,hms,/,30725,3577,12%,0%,OK,0
CenterNode,124.75.34.120,hms,/dev,7987,0,1%,1%,OK,0
CenterNode,124.75.34.120,hms,/home,49158,8934,19%,0%,OK,0
CenterNode,124.75.34.125,epg,/home/huawei/iptv/iagent/,500,3,1%,0%,OK,0
CenterNode,124.75.34.125,epg,/,60480,42463,74%,32%,WARN,320
CenterNode,124.75.34.125,epg,/dev,1917,0,1%,0%,OK,0
CenterNode,124.75.34.125,epg,/dev/shm,1917,0,0%,1%,OK,0
CenterNode,124.75.34.13,rrs,/home,116917,6303,6%,1%,OK,0
CenterNode,124.75.34.13,rrs,/opt,80638,2375,4%,1%,OK,0
CenterNode,124.75.34.13,rrs,/home/huawei/iptv/iagent/,500,104,21%,0%,OK,0
CenterNode,124.75.34.13,rrs,/,30244,11168,39%,10%,OK,0
CenterNode,124.75.34.13,rrs,/dev,11821,0,1%,0%,OK,0
CenterNode,124.75.34.13,rrs,/dev/shm,11821,16,1%,1%,OK,0
CenterNode,124.75.34.24,hms,/opt,51206,959,2%,0%,OK,0
CenterNode,124.75.34.24,hms,/dev/shm,17408,0,1%,1%,OK,0
CenterNode,124.75.34.24,hms,/home/hms/data/c,3145597,1642323,53%,1%,OK,0
CenterNode,124.75.34.24,hms,/home/hms/data/d,3145597,2742925,88%,1%,WARN,320
CenterNode,124.75.34.24,hms,/home/hms/data/e,3113852,2719048,88%,1%,WARN,320
CenterNode,124.75.34.24,hms,/home/hms/data/PLTV,121,4,4%,1%,OK,0
CenterNode,124.75.34.24,hms,/home/huawei/iptv/iagent/,500,3,1%,0%,OK,0
CenterNode,124.75.34.24,hms,/,30725,3771,13%,0%,OK,0
CenterNode,124.75.34.24,hms,/dev,7987,0,1%,1%,OK,0
CenterNode,124.75.34.24,hms,/home,49158,8459,18%,0%,OK,0
CenterNode,124.75.34.25,hms,/opt,51206,1134,3%,0%,OK,0
CenterNode,124.75.34.25,hms,/dev/shm,17408,0,1%,1%,OK,0
CenterNode,124.75.34.25,hms,/home/hms/data/c,3145597,1448796,47%,1%,OK,0
CenterNode,124.75.34.25,hms,/home/hms/data/d,3145597,2733745,87%,1%,WARN,320
CenterNode,124.75.34.25,hms,/home/hms/data/e,3113852,2764318,89%,1%,WARN,320
CenterNode,124.75.34.25,hms,/home/hms/data/PLTV,121,4,4%,1%,OK,0
CenterNode,124.75.34.25,hms,/home/huawei/iptv/iagent/,500,3,1%,0%,OK,0
CenterNode,124.75.34.25,hms,/,30725,3498,12%,0%,OK,0
CenterNode,124.75.34.25,hms,/dev,7987,0,1%,1%,OK,0
CenterNode,124.75.34.25,hms,/home,49158,7959,17%,0%,OK,0
CenterNode,124.75.34.26,hms,/opt,51206,954,2%,0%,OK,0
CenterNode,124.75.34.26,hms,/dev/shm,17408,0,1%,1%,OK,0
CenterNode,124.75.34.26,hms,/home/hms/data/c,3113852,1581919,51%,1%,OK,0
CenterNode,124.75.34.26,hms,/home/hms/data/d,3145597,2735306,87%,1%,WARN,320
CenterNode,124.75.34.26,hms,/home/hms/data/e,3145597,2737462,88%,1%,WARN,320
CenterNode,124.75.34.26,hms,/home/hms/data/PLTV,121,4,4%,1%,OK,0
CenterNode,124.75.34.26,hms,/home/huawei/iptv/iagent/,500,3,1%,0%,OK,0
CenterNode,124.75.34.26,hms,/,30725,3472,12%,0%,OK,0
CenterNode,124.75.34.26,hms,/dev,7987,0,1%,1%,OK,0
CenterNode,124.75.34.26,hms,/home,49158,9159,19%,0%,OK,0
