日期,总开户数,总装机数,日开户数,日销户数,日活跃用户数,HMS容量,HMS峰值,HMS负荷,中心HMS峰值,中心并发比,EPG容量,EPG峰值,EPG负荷,EPG默认分组峰值,EPG默认分组并发比,HMS峰值时间,EPG峰值时间,黑IP数
2016-04-28,2038901,0,---,---,---,470255,114769,24%,2686,2%,636400,224719,35%,116,0%,22:05:00,22:35:00,10524,0
2016-04-27,2036287,0,---,---,---,470255,115881,25%,2624,2%,636400,226983,36%,112,0%,22:05:00,21:50:00,7544,0
2016-04-26,2033659,0,---,---,---,470255,119711,25%,2763,2%,636400,235141,37%,106,0%,21:50:00,21:50:00,7128,0
2016-04-25,2030900,0,---,---,---,470255,123488,26%,2809,2%,636400,235122,37%,120,0%,21:50:00,21:50:00,7908,0
2016-04-24,2028379,0,---,---,---,470255,115767,25%,2591,2%,628400,253940,40%,123,0%,22:05:00,21:50:00,8327,0
2016-04-23,2024561,0,---,---,---,470255,119811,25%,3056,3%,628400,260645,41%,147,0%,21:50:00,21:50:00,7144,0
2016-04-22,2020518,0,---,---,---,470255,103682,22%,2667,3%,628400,213765,34%,109,0%,21:35:00,21:50:00,6225,0
2016-04-21,2018236,0,---,---,---,470255,110633,24%,2584,2%,628400,221785,35%,112,0%,22:05:00,22:35:00,6818,0
2016-04-20,2015796,0,---,---,---,470255,108913,23%,2853,3%,628400,235189,37%,128,0%,21:50:00,21:50:00,6327,0
2016-04-19,2013265,0,---,---,---,470255,106587,23%,3015,3%,628400,226131,36%,113,0%,22:05:00,21:50:00,6006,0
2016-04-18,2010769,0,---,---,---,470255,110975,24%,3189,3%,628400,221706,35%,119,0%,21:50:00,22:35:00,9641,0
2016-04-17,2008404,0,---,---,---,470255,108777,23%,2951,3%,628400,239778,38%,151,0%,21:50:00,21:50:00,7714,0
2016-04-16,2005072,0,---,---,---,470255,111701,24%,3196,3%,628400,249536,40%,133,0%,22:05:00,22:35:00,6929,0
2016-04-15,2001665,0,---,---,---,470255,107938,23%,3190,3%,628400,234126,37%,124,0%,22:05:00,22:35:00,5638,0
2016-04-14,1999850,0,---,---,---,470255,109644,23%,2990,3%,628400,213407,34%,103,0%,21:50:00,21:50:00,5217,0
2016-04-13,1998031,0,---,---,---,470255,108492,23%,2769,3%,628400,211596,34%,107,0%,21:50:00,21:50:00,4999,0
2016-04-12,1996116,0,---,---,---,470255,116545,25%,2838,2%,628400,219408,35%,118,0%,21:50:00,21:50:00,5543,0
