POP点,设备IP,Mount点,类型,状态,ID,Mount点名,是否共享,发布点ID,发布点名,挂载路径,总大小(GB),已用大小(GB),占用率
CenterNode,124.75.34.119,d,VOD,OK,799,mnt_gs_d_26,0,799,vod_pub_d,/dev/sdc,3072,2637,86%,0
CenterNode,124.75.34.119,e,VOD,OK,800,mnt_gs_e_26,0,800,vod_pub_e,/dev/sdd,3041,2621,86%,0
CenterNode,124.75.34.119,c,LIVE,OK,798,mnt_gs_c_26,0,798,rec_pub_c,/dev/sdb,3072,1407,46%,0
CenterNode,124.75.34.120,c,LIVE,OK,801,mnt_gs_c_27,0,801,rec_pub_c,/dev/sdb,3072,1796,58%,0
CenterNode,124.75.34.120,d,VOD,OK,802,mnt_gs_d_27,0,802,vod_pub_d,/dev/sdc,3072,2694,88%,0
CenterNode,124.75.34.120,e,VOD,OK,803,mnt_gs_e_27,0,803,vod_pub_e,/dev/sdd,3041,2642,87%,0
CenterNode,124.75.34.22,f,VOD,NOT_IN_DEV,1548,vod_CS_124.75.34.22_f,0,377,vod_pub_f,,0,0,0%,16
CenterNode,124.75.34.22,d,VOD,NOT_IN_DEV,1546,vod_CS_124.75.34.22_d,0,367,vod_pub_d,,0,0,0%,16
CenterNode,124.75.34.22,e,VOD,NOT_IN_DEV,1547,vod_CS_124.75.34.22_e,0,370,vod_pub_e,,0,0,0%,16
CenterNode,124.75.34.22,c,VOD,NOT_IN_DEV,1545,vod_CS_124.75.34.22_c,0,365,vod_pub_c,,0,0,0%,16
CenterNode,124.75.34.22,g,VOD,NOT_IN_DEV,1549,vod_CS_124.75.34.22_g,0,378,vod_pub_g,,0,0,0%,16
CenterNode,124.75.34.22,h,VOD,NOT_IN_DEV,1550,vod_CS_124.75.34.22_h,0,379,vod_pub_h,,0,0,0%,16
CenterNode,124.75.34.24,c,LIVE,OK,777,mnt_gs_c_19,0,777,rec_pub_c,/dev/sdb,3072,1604,52%,0
CenterNode,124.75.34.24,d,VOD,OK,778,mnt_gs_d_19,0,778,vod_pub_d,/dev/sdc,3072,2679,87%,0
CenterNode,124.75.34.24,e,VOD,OK,779,mnt_gs_e_19,0,779,vod_pub_e,/dev/sdd,3041,2655,87%,0
CenterNode,124.75.34.25,c,LIVE,OK,780,mnt_gs_c_20,0,780,rec_pub_c,/dev/sdb,3072,1415,46%,0
CenterNode,124.75.34.25,d,VOD,OK,781,mnt_gs_d_20,0,781,vod_pub_d,/dev/sdc,3072,2670,87%,0
CenterNode,124.75.34.25,e,VOD,WARN,782,mnt_gs_e_20,0,782,vod_pub_e,/dev/sdd,3041,2700,89%,12304
CenterNode,124.75.34.26,c,LIVE,OK,783,mnt_gs_c_21,0,783,rec_pub_c,/dev/sdd,3041,1545,51%,0
CenterNode,124.75.34.26,d,VOD,OK,784,mnt_gs_d_21,0,784,vod_pub_d,/dev/sdb,3072,2671,87%,0
CenterNode,124.75.34.26,e,VOD,OK,785,mnt_gs_e_21,0,785,vod_pub_e,/dev/sdc,3072,2673,87%,0
CenterNode,124.75.34.27,c,LIVE,OK,786,mnt_gs_c_22,0,786,rec_pub_c,/dev/sdb,3041,1681,55%,0
CenterNode,124.75.34.27,d,VOD,OK,787,mnt_gs_d_22,0,787,vod_pub_d,/dev/sdc,3072,2668,87%,0
CenterNode,124.75.34.27,e,VOD,WARN,788,mnt_gs_e_22,0,788,vod_pub_e,/dev/sdd,3072,2706,88%,12304
CenterNode,124.75.34.28,d,VOD,OK,790,mnt_gs_d_23,0,790,vod_pub_d,/dev/sdc,3072,2692,88%,0
CenterNode,124.75.34.28,e,VOD,OK,791,mnt_gs_e_23,0,791,vod_pub_e,/dev/sdd,3041,2604,86%,0
CenterNode,124.75.34.28,c,LIVE,OK,789,mnt_gs_c_23,0,789,rec_pub_c,/dev/sdb,3072,1601,52%,0
CenterNode,124.75.34.29,c,LIVE,OK,792,mnt_gs_c_24,0,792,rec_pub_c,/dev/sdb,3072,1743,57%,0
CenterNode,124.75.34.29,d,VOD,OK,793,mnt_gs_d_24,0,793,vod_pub_d,/dev/sdc,3072,2653,86%,0
