频道,节目名称,录制状态,频道ID,SPID,节目开始时间,节目结束时间
CCTV-1,朝闻天下,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 06:00:00,2016-04-28 07:40:00,0
CCTV-1,朝闻天下,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 07:40:00,2016-04-28 08:35:00,0
CCTV-1,出彩中国人,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 03:01:00,2016-04-28 04:31:00,0
CCTV-1,第一动画乐园,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 16:34:00,2016-04-28 16:44:00,0
CCTV-1,第一动画乐园,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 16:44:00,2016-04-28 17:14:00,0
CCTV-1,第一动画乐园,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 17:14:00,2016-04-28 18:00:00,0
CCTV-1,第一动画乐园,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 18:00:00,2016-04-28 19:00:00,0
CCTV-1,动物世界,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 00:00:00,2016-04-28 00:30:00,0
CCTV-1,父亲的身份(10),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 20:03:00,2016-04-28 20:56:00,0
CCTV-1,父亲的身份(11),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 20:59:00,2016-04-28 21:50:00,0
CCTV-1,光阴的故事(1),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 22:35:00,2016-04-28 23:29:00,0
CCTV-1,焦点访谈,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 19:37:00,2016-04-28 20:00:00,0
CCTV-1,今日说法,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 04:31:00,2016-04-28 05:00:00,0
CCTV-1,今日说法,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 12:34:00,2016-04-28 13:11:00,0
CCTV-1,精彩1刻:手艺-玲珑宫苑(1),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 21:50:00,2016-04-28 22:00:00,0
CCTV-1,穆桂英挂帅(20),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 09:27:00,2016-04-28 10:17:00,0
CCTV-1,穆桂英挂帅(21),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 10:17:00,2016-04-28 11:06:00,0
CCTV-1,穆桂英挂帅(22),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 11:06:00,2016-04-28 12:00:00,0
CCTV-1,普法栏目剧(128),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 01:32:00,2016-04-28 02:16:00,0
CCTV-1,普法栏目剧(129),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 02:16:00,2016-04-28 03:01:00,0
CCTV-1,普法栏目剧(130),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 13:11:00,2016-04-28 13:53:00,0
CCTV-1,普法栏目剧(131),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 13:53:00,2016-04-28 14:43:00,0
CCTV-1,前情提要:父亲的身份(10),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 20:00:00,2016-04-28 20:03:00,0
CCTV-1,前情提要:父亲的身份(11),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 20:56:00,2016-04-28 20:59:00,0
CCTV-1,人与自然,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 00:30:00,2016-04-28 01:00:00,0
CCTV-1,人与自然,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 05:30:00,2016-04-28 06:00:00,0
CCTV-1,生活圈,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 08:35:00,2016-04-28 09:27:00,0
CCTV-1,天气预报,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 19:30:00,2016-04-28 19:37:00,0
CCTV-1,晚间新闻,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 01:00:00,2016-04-28 01:32:00,0
CCTV-1,晚间新闻,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 22:00:00,2016-04-28 22:35:00,0
CCTV-1,新闻30分,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 12:00:00,2016-04-28 12:34:00,0
CCTV-1,新闻联播,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 05:00:00,2016-04-28 05:30:00,0
CCTV-1,新闻联播,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 19:00:00,2016-04-28 19:30:00,0
CCTV-1,遥远的婚约(10),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 14:43:00,2016-04-28 15:32:00,0
CCTV-1,遥远的婚约(11),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 15:32:00,2016-04-28 16:23:00,0
CCTV-1,中国梦:刻骨铭心,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225558/00000000015n.smil,350000000002,2016-04-28 16:23:00,2016-04-28 16:34:00,0
CCTV-1-2.5M,朝闻天下,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 06:00:00,2016-04-28 07:40:00,0
CCTV-1-2.5M,朝闻天下,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 07:40:00,2016-04-28 08:35:00,0
CCTV-1-2.5M,出彩中国人,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 03:01:00,2016-04-28 04:31:00,0
CCTV-1-2.5M,第一动画乐园,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 16:34:00,2016-04-28 16:44:00,0
CCTV-1-2.5M,第一动画乐园,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 16:44:00,2016-04-28 17:14:00,0
CCTV-1-2.5M,第一动画乐园,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 17:14:00,2016-04-28 18:00:00,0
CCTV-1-2.5M,第一动画乐园,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 18:00:00,2016-04-28 19:00:00,0
CCTV-1-2.5M,动物世界,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 00:00:00,2016-04-28 00:30:00,0
CCTV-1-2.5M,父亲的身份(10),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 20:03:00,2016-04-28 20:56:00,0
CCTV-1-2.5M,父亲的身份(11),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 20:59:00,2016-04-28 21:50:00,0
CCTV-1-2.5M,光阴的故事(1),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 22:35:00,2016-04-28 23:29:00,0
CCTV-1-2.5M,焦点访谈,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 19:37:00,2016-04-28 20:00:00,0
