POP点,设备IP,LICENSE,最大用户数,HMS负荷,高峰用户数,高峰点播,高峰直播,高清||标清,出流能力(Mbps),高峰流量(Mbps),TICKS检查
CenterNode,124.75.34.119,800,185,23%,176,146,30,41||135,1800,463,,0
CenterNode,124.75.34.120,800,178,22%,170,154,16,49||121,1800,479,,0
CenterNode,124.75.34.22,1000,84,8%,0,0,0,0||0,,,,0
CenterNode,124.75.34.24,750,147,20%,126,108,18,30||97,1800,303,,0
CenterNode,124.75.34.25,750,138,18%,122,111,11,47||75,1800,430,,0
CenterNode,124.75.34.26,800,149,19%,143,121,22,30||113,1800,329,,0
CenterNode,124.75.34.27,800,141,18%,141,124,17,49||91,1800,454,,0
CenterNode,124.75.34.28,800,125,16%,124,114,10,24||100,1800,320,,0
CenterNode,124.75.34.29,800,174,22%,174,162,12,80||94,1800,598,,0
CenterNode,124.75.34.30,800,172,22%,141,126,15,32||109,1800,414,,0
CenterNode,124.75.34.8,3000,1465,49%,1369,1369,0,632||737,6000,5495,,1024
SUB1_BS,10.192.84.169,3000,8,0%,8,8,0,0||8,,,,0
SUB1_BS,10.192.84.170,3000,4,0%,4,4,0,0||4,,,,0
SUB1_BS,124.75.36.32,920,25,3%,22,22,0,12||10,,,,0
SUB1_BS,124.75.36.33,920,18,2%,18,18,0,5||13,,,,0
SUB1_BS,124.75.36.43,1000,10,1%,8,8,0,2||6,,,,0
SUB1_BS,124.75.36.44,1000,6,1%,3,3,0,0||3,,,,0
SUB1_BS,124.75.36.45,1000,9,1%,4,4,0,2||3,,,,0
SUB1_BS,124.75.36.46,1000,247,25%,185,185,0,97||89,,,,0
SUB1_BS,124.75.36.47,1000,188,19%,130,130,0,44||86,,,,0
BS_EDGE3,222.68.217.10,575,314,55%,300,200,100,19||282,,,,0
BS_EDGE3,222.68.217.11,575,209,36%,180,137,43,83||97,,,,0
BS_EDGE3,222.68.217.12,575,173,30%,155,130,25,34||122,,,,0
BS_EDGE3,222.68.217.13,575,259,45%,259,221,38,55||205,,,,0
BS_EDGE3,222.68.217.14,575,191,33%,182,148,34,30||152,,,,0
BS_EDGE3,222.68.217.16,575,324,56%,324,222,102,24||300,,,,0
BS_EDGE3,222.68.217.17,575,233,41%,224,181,43,61||160,,,,0
BS_EDGE4,222.68.205.137,575,240,42%,199,179,20,37||162,,,,0
BS_EDGE4,222.68.205.138,575,319,55%,318,263,55,9||310,,,,0
BS_EDGE4,222.68.205.139,575,157,27%,157,122,35,54||103,,,,0
BS_EDGE4,222.68.205.140,575,263,46%,263,220,43,61||200,,,,0
