内容ID,频道名,频道ID,smil文件名,服务提供商ID,直播次数,直播热度,回看次数,回看热度,时移次数,时移热度
3221226089,新闻综合-2.5M,00000100000000060000000000007688_0,00000100000000060000000000007688_0.smil,88888888,1294,0.14%,2213,0.26%,198,0.46%,0
3221226090,东方卫视-2.5M,00000100000000060000000000007689_0,00000100000000060000000000007689_0.smil,88888888,849,0.10%,2982,0.36%,302,0.70%,0
3221226215,高清导视频道,10000100000000060000000000516617_0,10000100000000060000000000516617_0.smil,88888888,731,0.08%,0,0.00%,1,0.00%,0
3221226108,第一财经-2.5M,00000100000000060000000000022373_0,00000100000000060000000000022373_0.smil,88888888,675,0.08%,714,0.09%,227,0.53%,0
3221226091,娱乐频道-2.5M,00000100000000060000000000007690_0,00000100000000060000000000007690_0.smil,88888888,491,0.05%,1288,0.15%,213,0.49%,0
3221226112,东方卫视(高清),00000100000000060000000000037556_0,00000100000000060000000000037556_0.smil,88888888,408,0.05%,8798,1.05%,76,0.18%,0
3221226082,CCTV-4-2.5M,00000100000000060000000000000558_0,00000100000000060000000000000558_0.smil,88888888,302,0.03%,597,0.07%,41,0.10%,0
3221226094,星尚-2.5M,00000100000000060000000000007693_0,00000100000000060000000000007693_0.smil,88888888,269,0.03%,354,0.04%,117,0.27%,0
3221226233,新闻综合HD,10000100000000060000000000813435_0,10000100000000060000000000813435_0.smil,88888888,231,0.03%,486,0.06%,60,0.14%,0
3221225540,,iptv319,00000000014t.smil,88888888,216,0.02%,16,0.00%,0,0.00%,0
3221226093,电视剧频道-2.5M,00000100000000060000000000007692_0,00000100000000060000000000007692_0.smil,88888888,204,0.02%,1340,0.16%,30,0.07%,0
3221226104,高清新视觉,00000100000000060000000000010162_0,00000100000000060000000000010162_0.smil,88888888,199,0.02%,51,0.01%,1,0.00%,0
3221226105,CCTV-5-2.5M,00000100000000060000000000022370_0,00000100000000060000000000022370_0.smil,88888888,191,0.02%,769,0.09%,31,0.07%,0
3221226107,体育频道-2.5M,00000100000000060000000000022372_0,00000100000000060000000000022372_0.smil,88888888,191,0.02%,756,0.09%,38,0.09%,0
3221226273,时尚购物-2.5M,10000100000000060000000001533614_0,10000100000000060000000001533614_0.smil,88888888,185,0.02%,0,0.00%,3,0.01%,0
3221225514,,iptv190,00000000011t.smil,88888888,177,0.02%,0,0.00%,0,0.00%,0
3221225508,,iptv193,00000000011n.smil,88888888,168,0.02%,7,0.00%,0,0.00%,0
3221226100,东方电影-2.5M,00000100000000060000000000007698_0,00000100000000060000000000007698_0.smil,88888888,166,0.02%,1326,0.16%,33,0.08%,0
3221226234,五星体育HD,10000100000000060000000000813434_0,10000100000000060000000000813434_0.smil,88888888,165,0.02%,253,0.03%,22,0.05%,0
3221226148,劲爆体育-2.5M,00000100000000060000000000087180_0,00000100000000060000000000087180_0.smil,88888888,162,0.02%,35,0.00%,1,0.00%,0
3221225509,,iptv192,00000000011o.smil,88888888,153,0.02%,13,0.00%,0,0.00%,0
3221225551,,iptv338,00000000015c.smil,88888888,150,0.02%,12,0.00%,0,0.00%,0
3221225507,,iptv194,00000000011m.smil,88888888,132,0.01%,2,0.00%,0,0.00%,0
3221226095,纪实频道-2.5M,00000100000000060000000000007694_0,00000100000000060000000000007694_0.smil,88888888,90,0.01%,574,0.07%,17,0.04%,0
3221226168,CCTV-新闻-2.5M,00000100000000060000000000087200_0,00000100000000060000000000087200_0.smil,88888888,83,0.01%,75,0.01%,14,0.03%,0
3221226219,娱乐频道HD,10000100000000060000000000522063_0,10000100000000060000000000522063_0.smil,88888888,83,0.01%,288,0.03%,18,0.04%,0
3221226096,哈哈少儿-2.5M,00000100000000060000000000007695_0,00000100000000060000000000007695_0.smil,88888888,75,0.01%,699,0.08%,17,0.04%,0
3221226231,第一财经HD,10000100000000060000000000813433_0,10000100000000060000000000813433_0.smil,88888888,74,0.01%,208,0.02%,21,0.05%,0
3221226109,CCTV-3-2.5M,00000100000000060000000000022679_0,00000100000000060000000000022679_0.smil,88888888,73,0.01%,75,0.01%,15,0.03%,0
3221226077,炫动卡通-2.5M,00000100000000060000000000000293_0,00000100000000060000000000000293_0.smil,88888888,72,0.01%,280,0.03%,12,0.03%,0
3221226079,CCTV-1-2.5M,00000100000000060000000000000305_0,00000100000000060000000000000305_0.smil,88888888,61,0.01%,426,0.05%,20,0.05%,0
3221226106,CCTV-6-2.5M,00000100000000060000000000022371_0,00000100000000060000000000022371_0.smil,88888888,59,0.01%,455,0.05%,12,0.03%,0
3221225504,,iptv197,00000000011j.smil,88888888,56,0.01%,15,0.00%,0,0.00%,0
3221226097,外语频道-2.5M,00000100000000060000000000007696_0,00000100000000060000000000007696_0.smil,88888888,54,0.01%,46,0.01%,7,0.02%,0
3221225567,,iptv355,000000000164.smil,88888888,53,0.01%,24,0.00%,0,0.00%,0
3221226111,浙江卫视(高清),00000100000000060000000000037315_0,00000100000000060000000000037315_0.smil,88888888,51,0.01%,332,0.04%,13,0.03%,0
3221226220,电视剧频道HD,10000100000000060000000000522062_0,10000100000000060000000000522062_0.smil,88888888,50,0.01%,260,0.03%,9,0.02%,0
3221225557,,iptv343,00000000015i.smil,88888888,49,0.01%,0,0.00%,0,0.00%,0
3221225553,,iptv340,00000000015e.smil,88888888,46,0.01%,2,0.00%,0,0.00%,0
3221226092,艺术人文-2.5M,00000100000000060000000000007691_0,00000100000000060000000000007691_0.smil,88888888,45,0.01%,78,0.01%,4,0.01%,0
3221225501,,iptv198,00000000011g.smil,88888888,42,0.00%,2,0.00%,0,0.00%,0
3221225593,,iptv10045,000000000d9g.smil,88888888,42,0.00%,4,0.00%,0,0.00%,0
3221226086,湖南卫视(高清),00000100000000060000000000005881_0,00000100000000060000000000005881_0.smil,88888888,41,0.00%,200,0.02%,12,0.03%,0
3221225687,,iptv141949,0000000036y9.smil,88888888,40,0.00%,4,0.00%,0,0.00%,0
3221226102,CCTV-1高清,00000100000000060000000000009784_0,00000100000000060000000000009784_0.smil,88888888,40,0.00%,120,0.01%,10,0.02%,0
3221226087,北京卫视(高清),00000100000000060000000000007666_0,00000100000000060000000000007666_0.smil,88888888,38,0.00%,133,0.02%,11,0.03%,0
3221225490,,iptv200,000000000115.smil,88888888,37,0.00%,2,0.00%,0,0.00%,0
3221225503,,iptv189,00000000011i.smil,88888888,37,0.00%,294,0.04%,8,0.02%,0
3221225495,,iptv199,00000000011a.smil,88888888,36,0.00%,3,0.00%,0,0.00%,0
3221226098,东方购物-2.5M,00000100000000060000000000007697_0,00000100000000060000000000007697_0.smil,88888888,36,0.00%,137,0.02%,6,0.01%,0
3221226110,江苏卫视(高清),00000100000000060000000000037546_0,00000100000000060000000000037546_0.smil,88888888,35,0.00%,179,0.02%,9,0.02%,0
3221225679,,iptv141932,0000000036y1.smil,88888888,34,0.00%,8,0.00%,0,0.00%,0
3221225487,,iptv201,000000000112.smil,88888888,33,0.00%,9,0.00%,0,0.00%,0
3221226170,CCTV-音乐-2.5M,00000100000000060000000000087202_0,00000100000000060000000000087202_0.smil,88888888,33,0.00%,142,0.02%,9,0.02%,0
3221226239,东方尚品,10000100000000060000000000848070_0,10000100000000060000000000848070_0.smil,88888888,33,0.00%,34,0.00%,2,0.00%,0
3221225475,,iptv206,00000000010q.smil,88888888,32,0.00%,4,0.00%,0,0.00%,0
3221226271,时尚购物,10000100000000060000000001533608_0,10000100000000060000000001533608_0.smil,88888888,32,0.00%,0,0.00%,0,0.00%,0
3221225685,,iptv141947,0000000036y7.smil,88888888,31,0.00%,0,0.00%,0,0.00%,0
3221226078,CCTV-2-2.5M,00000100000000060000000000000321_0,00000100000000060000000000000321_0.smil,88888888,31,0.00%,62,0.01%,4,0.01%,0
3221226142,湖北卫视-2.5M,00000100000000060000000000087174_0,00000100000000060000000000087174_0.smil,88888888,30,0.00%,28,0.00%,6,0.01%,0
3221226159,CCTV-12-2.5M,00000100000000060000000000087199_0,00000100000000060000000000087199_0.smil,88888888,30,0.00%,234,0.03%,6,0.01%,0
3221226230,纪实频道HD,10000100000000060000000000646848_0,10000100000000060000000000646848_0.smil,88888888,30,0.00%,232,0.03%,4,0.01%,0
3221226162,法治天地-2.5M,00000100000000060000000000087194_0,00000100000000060000000000087194_0.smil,88888888,29,0.00%,191,0.02%,7,0.02%,0
3221225536,,iptv317,00000000014l.smil,88888888,28,0.00%,123,0.01%,8,0.02%,0
3221225562,,iptv349,00000000015w.smil,88888888,28,0.00%,0,0.00%,0,0.00%,0
3221225682,,iptv141944,0000000036y4.smil,88888888,27,0.00%,5,0.00%,0,0.00%,0
3221226157,CCTV-10-2.5M,00000100000000060000000000087197_0,00000100000000060000000000087197_0.smil,88888888,27,0.00%,185,0.02%,2,0.00%,0
3221226161,CCTV-少儿-2.5M,00000100000000060000000000087201_0,00000100000000060000000000087201_0.smil,88888888,26,0.00%,133,0.02%,5,0.01%,0
3221225691,云南卫视,iptv160905,iptv160905.smil,88888888,25,0.00%,0,0.00%,0,0.00%,0
3221225766,黑龙江卫视,iptv258531,iptv258531.smil,88888888,25,0.00%,0,0.00%,0,0.00%,0
3221225771,重庆卫视,iptv258526,iptv258526.smil,88888888,25,0.00%,14,0.00%,0,0.00%,0
3221226155,CCTV-7-2.5M,00000100000000060000000000087195_0,00000100000000060000000000087195_0.smil,88888888,24,0.00%,60,0.01%,3,0.01%,0
3221225773,内蒙古卫视,iptv258523,iptv258523.smil,88888888,23,0.00%,0,0.00%,0,0.00%,0
3221225491,,iptv156,000000000116.smil,88888888,22,0.00%,1,0.00%,0,0.00%,0
3221225681,,iptv141939,0000000036y3.smil,88888888,22,0.00%,2,0.00%,0,0.00%,0
3221225768,河北卫视,iptv258529,iptv258529.smil,88888888,22,0.00%,4,0.00%,0,0.00%,0
3221225769,河南卫视,iptv258528,iptv258528.smil,88888888,22,0.00%,14,0.00%,0,0.00%,0
3221225474,,iptv142,00000000010p.smil,88888888,21,0.00%,0,0.00%,0,0.00%,0
3221225770,贵州卫视,iptv258527,iptv258527.smil,88888888,21,0.00%,1,0.00%,0,0.00%,0
3221226084,深圳卫视(高清),00000100000000060000000000005879_0,00000100000000060000000000005879_0.smil,88888888,21,0.00%,131,0.02%,4,0.01%,0
3221225513,,iptv153,00000000011s.smil,88888888,20,0.00%,6,0.00%,0,0.00%,0
3221225528,,iptv307,00000000014d.smil,88888888,20,0.00%,0,0.00%,0,0.00%,0
3221225592,,iptv10044,000000000d9e.smil,88888888,20,0.00%,0,0.00%,0,0.00%,0
3221226088,教育频道-2.5M,00000100000000060000000000007667_0,00000100000000060000000000007667_0.smil,88888888,20,0.00%,193,0.02%,5,0.01%,0
3221226154,湖南卫视-2.5M,00000100000000060000000000087186_0,00000100000000060000000000087186_0.smil,88888888,20,0.00%,56,0.01%,1,0.00%,0
3221226166,CCTV-11-2.5M,00000100000000060000000000087198_0,00000100000000060000000000087198_0.smil,88888888,20,0.00%,104,0.01%,3,0.01%,0
3221226202,东方购物-2,00000100000000060000000000143614_0,00000100000000060000000000143614_0.smil,88888888,20,0.00%,53,0.01%,4,0.01%,0
3221225478,,iptv181,00000000010t.smil,88888888,17,0.00%,97,0.01%,4,0.01%,0
3221226160,山东卫视-2.5M,00000100000000060000000000087192_0,00000100000000060000000000087192_0.smil,88888888,17,0.00%,24,0.00%,0,0.00%,0
3221226232,直播室6,10000100000000060000000000686925_0,10000100000000060000000000686925_0.smil,88888888,17,0.00%,0,0.00%,0,0.00%,0
3221226083,广东卫视(高清),00000100000000060000000000005868_0,00000100000000060000000000005868_0.smil,88888888,16,0.00%,38,0.00%,4,0.01%,0
3221226240,东方悦居,10000100000000060000000000848366_0,10000100000000060000000000848366_0.smil,88888888,16,0.00%,51,0.01%,4,0.01%,0
3221226126,安徽卫视-2.5M,00000100000000060000000000087158_0,00000100000000060000000000087158_0.smil,88888888,15,0.00%,112,0.01%,5,0.01%,0
3221226147,江苏卫视-2.5M,00000100000000060000000000087187_0,00000100000000060000000000087187_0.smil,88888888,15,0.00%,37,0.00%,5,0.01%,0
3221226229,金鹰卡通-2.5M,10000100000000060000000000734085_0,10000100000000060000000000734085_0.smil,88888888,15,0.00%,0,0.00%,0,0.00%,0
3221225533,,iptv314,00000000014i.smil,88888888,14,0.00%,0,0.00%,8,0.02%,0
3221226204,深圳卫视,00000100000000060000000000152298_0,00000100000000060000000000152298_0.smil,88888888,14,0.00%,47,0.01%,1,0.00%,0
3221226243,东方食味,10000100000000060000000000848375_0,10000100000000060000000000848375_0.smil,88888888,14,0.00%,23,0.00%,0,0.00%,0
3221226124,河南卫视-2.5M,00000100000000060000000000087104_0,00000100000000060000000000087104_0.smil,88888888,13,0.00%,29,0.00%,0,0.00%,0
3221226153,辽宁卫视-2.5M,00000100000000060000000000087193_0,00000100000000060000000000087193_0.smil,88888888,13,0.00%,31,0.00%,0,0.00%,0
3221226195,直播室5,00000100000000060000000000201576_0,00000100000000060000000000201576_0.smil,88888888,13,0.00%,0,0.00%,0,0.00%,0
3221226145,北京卫视-2.5M,00000100000000060000000000087185_0,00000100000000060000000000087185_0.smil,88888888,12,0.00%,63,0.01%,1,0.00%,0
3221226156,浙江卫视-2.5M,00000100000000060000000000087188_0,00000100000000060000000000087188_0.smil,88888888,12,0.00%,43,0.01%,1,0.00%,0
3221226275,东方购物-1HD,10000100000000060000000001534016_0,10000100000000060000000001534016_0.smil,88888888,12,0.00%,24,0.00%,1,0.00%,0
3221225603,,iptv13290,000000000idk.smil,88888888,11,0.00%,1,0.00%,0,0.00%,0
3221226121,东南卫视-2.5M,00000100000000060000000000087159_0,00000100000000060000000000087159_0.smil,88888888,11,0.00%,56,0.01%,5,0.01%,0
3221226123,天津卫视-2.5M,00000100000000060000000000087161_0,00000100000000060000000000087161_0.smil,88888888,11,0.00%,70,0.01%,3,0.01%,0
3221226225,直播室7,10000100000000060000000000686926_0,10000100000000060000000000686926_0.smil,88888888,11,0.00%,0,0.00%,0,0.00%,0
3221226237,环球购物,10000100000000060000000000838200_0,10000100000000060000000000838200_0.smil,88888888,11,0.00%,41,0.00%,3,0.01%,0
3221225575,,iptv322,00000000016h.smil,88888888,10,0.00%,0,0.00%,1,0.00%,0
3221226151,四川卫视-2.5M,00000100000000060000000000087191_0,00000100000000060000000000087191_0.smil,88888888,10,0.00%,60,0.01%,0,0.00%,0
3221226227,金鹰卡通,10000100000000060000000000734079_0,10000100000000060000000000734079_0.smil,88888888,10,0.00%,0,0.00%,0,0.00%,0
3221226264,东方购物-2HD,10000100000000060000000001534015_0,10000100000000060000000001534015_0.smil,88888888,10,0.00%,29,0.00%,1,0.00%,0
3221225670,,iptv88543,0000000022is.smil,88888888,9,0.00%,0,0.00%,0,0.00%,0
3221226130,江西卫视-2.5M,00000100000000060000000000087162_0,00000100000000060000000000087162_0.smil,88888888,9,0.00%,109,0.01%,0,0.00%,0
3221225697,网球,iptv207702,iptv207702.smil,88888888,8,0.00%,0,0.00%,0,0.00%,0
3221226185,直播室9-2.5M,00000100000000060000000000087272_1,00000100000000060000000000087272_1.smil,88888888,8,0.00%,0,0.00%,0,0.00%,0
3221225476,,iptv143,00000000010r.smil,88888888,7,0.00%,5,0.00%,0,0.00%,0
3221225543,,iptv331,000000000151.smil,88888888,7,0.00%,0,0.00%,0,0.00%,0
3221226188,直播室10-2.5M,00000100000000060000000000087273_2,00000100000000060000000000087273_2.smil,88888888,7,0.00%,0,0.00%,0,0.00%,0
3221226196,直播室12-2.5M,00000100000000060000000000087275_3,00000100000000060000000000087275_3.smil,88888888,7,0.00%,0,0.00%,1,0.00%,0
3221226208,直播室3,00000100000000060000000000201575_0,00000100000000060000000000201575_0.smil,88888888,7,0.00%,0,0.00%,0,0.00%,0
3221225472,,iptv121,00000000010n.smil,88888888,6,0.00%,0,0.00%,0,0.00%,0
3221225494,,iptv160,000000000119.smil,88888888,6,0.00%,6,0.00%,0,0.00%,0
3221225535,,iptv315,00000000014k.smil,88888888,6,0.00%,0,0.00%,2,0.00%,0
3221225669,,iptv89205,0000000022ij.smil,88888888,6,0.00%,16,0.00%,0,0.00%,0
3221226085,黑龙江卫视(高清),00000100000000060000000000005880_0,00000100000000060000000000005880_0.smil,88888888,6,0.00%,22,0.00%,0,0.00%,0
3221226149,旅游卫视-2.5M,00000100000000060000000000087189_0,00000100000000060000000000087189_0.smil,88888888,6,0.00%,28,0.00%,0,0.00%,0
3221226152,宁夏卫视-2.5M,00000100000000060000000000087184_0,00000100000000060000000000087184_0.smil,88888888,6,0.00%,86,0.01%,1,0.00%,0
3221226158,广西卫视-2.5M,00000100000000060000000000087190_0,00000100000000060000000000087190_0.smil,88888888,6,0.00%,35,0.00%,1,0.00%,0
3221225481,,iptv205,00000000010w.smil,88888888,5,0.00%,0,0.00%,0,0.00%,0
3221225483,,iptv204,00000000010y.smil,88888888,5,0.00%,0,0.00%,0,0.00%,0
3221225544,,iptv329,000000000152.smil,88888888,5,0.00%,0,0.00%,0,0.00%,0
3221225577,,iptv318,00000000016j.smil,88888888,5,0.00%,0,0.00%,0,0.00%,0
3221226127,青海卫视-2.5M,00000100000000060000000000087165_0,00000100000000060000000000087165_0.smil,88888888,5,0.00%,29,0.00%,1,0.00%,0
3221226131,甘肃卫视-2.5M,00000100000000060000000000087169_0,00000100000000060000000000087169_0.smil,88888888,5,0.00%,12,0.00%,2,0.00%,0
3221226245,优购物,10000100000000060000000000965372_0,10000100000000060000000000965372_0.smil,88888888,5,0.00%,19,0.00%,2,0.00%,0
3221225492,,iptv157,000000000117.smil,88888888,4,0.00%,2,0.00%,0,0.00%,0
3221226125,吉林卫视-2.5M,00000100000000060000000000087163_0,00000100000000060000000000087163_0.smil,88888888,4,0.00%,36,0.00%,0,0.00%,0
3221226132,山西卫视-2.5M,00000100000000060000000000087164_0,00000100000000060000000000087164_0.smil,88888888,4,0.00%,29,0.00%,1,0.00%,0
3221226164,CCTV-9-2.5M,00000100000000060000000000087196_0,00000100000000060000000000087196_0.smil,88888888,4,0.00%,7,0.00%,0,0.00%,0
3221226181,直播室11-2.5M,00000100000000060000000000087274_2,00000100000000060000000000087274_2.smil,88888888,4,0.00%,0,0.00%,0,0.00%,0
3221226206,直播室2,00000100000000060000000000201569_0,00000100000000060000000000201569_0.smil,88888888,4,0.00%,9,0.00%,1,0.00%,0
3221225639,,iptv63012,000000001jc7.smil,88888888,3,0.00%,0,0.00%,0,0.00%,0
3221226133,黑龙江卫视-2.5M,00000100000000060000000000087171_0,00000100000000060000000000087171_0.smil,88888888,3,0.00%,11,0.00%,1,0.00%,0
3221226163,都市剧场-2.5M,00000100000000060000000000087203_0,00000100000000060000000000087203_0.smil,88888888,3,0.00%,17,0.00%,0,0.00%,0
3221226194,直播室15-2.5M,00000100000000060000000000087277_2,00000100000000060000000000087277_2.smil,88888888,3,0.00%,0,0.00%,1,0.00%,0
3221225497,,iptv183,00000000011c.smil,88888888,2,0.00%,0,0.00%,0,0.00%,0
3221225516,,iptv144,00000000011v.smil,88888888,2,0.00%,3,0.00%,0,0.00%,0
3221225519,,iptv146,00000000013z.smil,88888888,2,0.00%,0,0.00%,0,0.00%,0
3221225523,,iptv294,000000000147.smil,88888888,2,0.00%,5,0.00%,0,0.00%,0
3221225542,,iptv325,00000000014v.smil,88888888,2,0.00%,0,0.00%,0,0.00%,0
3221225576,,iptv320,00000000016i.smil,88888888,2,0.00%,0,0.00%,0,0.00%,0
3221225690,甘肃卫视,iptv142315,iptv142315.smil,88888888,2,0.00%,0,0.00%,0,0.00%,0
3221225772,湖北卫视,iptv258525,iptv258525.smil,88888888,2,0.00%,0,0.00%,0,0.00%,0
3221226137,重庆卫视-2.5M,00000100000000060000000000087175_0,00000100000000060000000000087175_0.smil,88888888,2,0.00%,43,0.01%,0,0.00%,0
3221226138,广东卫视-2.5M,00000100000000060000000000087170_0,00000100000000060000000000087170_0.smil,88888888,2,0.00%,15,0.00%,0,0.00%,0
3221226140,河北卫视-2.5M,00000100000000060000000000087172_0,00000100000000060000000000087172_0.smil,88888888,2,0.00%,47,0.01%,0,0.00%,0
3221226141,全纪实-2.5M,00000100000000060000000000087181_0,00000100000000060000000000087181_0.smil,88888888,2,0.00%,86,0.01%,1,0.00%,0
3221226144,贵州卫视-2.5M,00000100000000060000000000087176_0,00000100000000060000000000087176_0.smil,88888888,2,0.00%,8,0.00%,1,0.00%,0
3221226146,欢笑剧场-2.5M,00000100000000060000000000087178_0,00000100000000060000000000087178_0.smil,88888888,2,0.00%,56,0.01%,0,0.00%,0
3221226183,直播室16-2.5M,00000100000000060000000000087278_2,00000100000000060000000000087278_2.smil,88888888,2,0.00%,0,0.00%,0,0.00%,0
3221226198,直播室13-2.5M,00000100000000060000000000088056_0,00000100000000060000000000088056_0.smil,88888888,2,0.00%,0,0.00%,0,0.00%,0
3221225473,,iptv122,00000000010o.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225477,,iptv207,00000000010s.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225479,,iptv243,00000000010u.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225482,,iptv145,00000000010x.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225484,,iptv203,00000000010z.smil,88888888,1,0.00%,33,0.00%,1,0.00%,0
3221225493,,iptv149,000000000118.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225496,,iptv182,00000000011b.smil,88888888,1,0.00%,11,0.00%,0,0.00%,0
3221225498,,iptv184,00000000011d.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225499,,iptv185,00000000011e.smil,88888888,1,0.00%,1,0.00%,0,0.00%,0
3221225502,,iptv188,00000000011h.smil,88888888,1,0.00%,1,0.00%,0,0.00%,0
3221225506,,iptv195,00000000011l.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225512,,iptv152,00000000011r.smil,88888888,1,0.00%,1,0.00%,0,0.00%,0
3221225518,,iptv154,00000000013y.smil,88888888,1,0.00%,3,0.00%,0,0.00%,0
3221225522,,iptv293,000000000146.smil,88888888,1,0.00%,2,0.00%,1,0.00%,0
3221225527,,iptv304,00000000014c.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225529,,iptv306,00000000014e.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225532,,iptv316,00000000014h.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225546,,iptv328,000000000154.smil,88888888,1,0.00%,3,0.00%,0,0.00%,0
3221225549,,iptv336,00000000015a.smil,88888888,1,0.00%,2,0.00%,0,0.00%,0
3221225554,,iptv339,00000000015f.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225558,,iptv345,00000000015n.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225560,,iptv348,00000000015t.smil,88888888,1,0.00%,0,0.00%,1,0.00%,0
3221225563,,iptv352,00000000015x.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225574,,iptv323,00000000016g.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225578,,iptv308,00000000016k.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225579,,iptv305,00000000016l.smil,88888888,1,0.00%,3,0.00%,0,0.00%,0
3221225623,,iptv25341,000000000pyy.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225661,,iptv88550,0000000022br.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225662,,iptv88551,0000000022bs.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225665,,iptv88554,0000000022bv.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225698,信息,iptv213084,iptv213084.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221226134,西藏卫视-2.5M,00000100000000060000000000087166_0,00000100000000060000000000087166_0.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221226135,内蒙古卫视-2.5M,00000100000000060000000000087173_0,00000100000000060000000000087173_0.smil,88888888,1,0.00%,12,0.00%,0,0.00%,0
3221226136,云南卫视-2.5M,00000100000000060000000000087168_0,00000100000000060000000000087168_0.smil,88888888,1,0.00%,35,0.00%,0,0.00%,0
3221226139,生活时尚-2.5M,00000100000000060000000000087179_0,00000100000000060000000000087179_0.smil,88888888,1,0.00%,10,0.00%,0,0.00%,0
3221226179,CCTV-高网-2.5M,00000100000000060000000000087271_2,00000100000000060000000000087271_2.smil,88888888,1,0.00%,15,0.00%,0,0.00%,0
3221226192,直播室14-2.5M,00000100000000060000000000087276_2,00000100000000060000000000087276_2.smil,88888888,1,0.00%,0,0.00%,0,0.00%,0
3221225485,,iptv202,000000000110.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225486,,iptv148,000000000111.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225488,,iptv159,000000000113.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225489,,iptv158,000000000114.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225500,,iptv150,00000000011f.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225505,,iptv196,00000000011k.smil,88888888,0,0.00%,1,0.00%,0,0.00%,0
3221225510,,iptv151,00000000011p.smil,88888888,0,0.00%,2,0.00%,0,0.00%,0
3221225511,,iptv191,00000000011q.smil,88888888,0,0.00%,1,0.00%,0,0.00%,0
3221225515,,iptv155,00000000011u.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225541,,iptv321,00000000014u.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225550,,iptv337,00000000015b.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225555,,iptv342,00000000015g.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225556,,iptv341,00000000015h.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225564,,iptv351,00000000015y.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225566,,iptv353,000000000160.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225586,,iptv147,00000000016s.smil,88888888,0,0.00%,4,0.00%,0,0.00%,0
3221225608,,iptv22877,000000000o2y.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225630,,,,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225634,,iptv51893,000000001asu.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225640,,iptv76694,000000001suk.smil,88888888,0,0.00%,27,0.00%,0,0.00%,0
3221225653,,iptv79892,000000001vav.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225654,,iptv79893,000000001vaw.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225655,,iptv79894,000000001vax.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225659,,iptv88548,0000000022bp.smil,88888888,0,0.00%,5,0.00%,0,0.00%,0
3221225660,,iptv88549,0000000022bq.smil,88888888,0,0.00%,2,0.00%,0,0.00%,0
3221225663,,iptv88552,0000000022bt.smil,88888888,0,0.00%,1,0.00%,0,0.00%,0
3221225664,,iptv88553,0000000022bu.smil,88888888,0,0.00%,29,0.00%,0,0.00%,0
3221225666,,iptv88555,0000000022bw.smil,88888888,0,0.00%,2,0.00%,0,0.00%,0
3221225675,,iptv111100,000000002ja3.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225680,,iptv141938,0000000036y2.smil,88888888,0,0.00%,1,0.00%,0,0.00%,0
3221225683,,iptv141945,0000000036y5.smil,88888888,0,0.00%,1,0.00%,0,0.00%,0
3221225684,,iptv141946,0000000036y6.smil,88888888,0,0.00%,8,0.00%,0,0.00%,0
