PID,POP点,日新发内容数,日新发成功数,日新发成功率,即时push数,即时push成功数,即时push成功率,凌晨push数,凌晨push成功数,凌晨push成功率,日删除内容数,日删除成功数,日删除成功率,凌晨删除内容数,凌晨删除成功数,凌晨删除成功率,状态
1,CenterNode,1015,1014,99.9%,0,0,100.0%,0,0,100.0%,1054,1054,100.0%,0,0,100.0%,OK,0
2,sub_null,,,100.0%,,,100.0%,,,100.0%,,,100.0%,,,100.0%,OK,0
3,SUB1_BS,1015,787,77.5%,68,55,80.9%,11,11,100.0%,966,966,100.0%,0,0,100.0%,OK,0
7,BS_EDGE1,,,100.0%,,,100.0%,,,100.0%,,,100.0%,,,100.0%,OK,0
8,BS_EDGE2,,,100.0%,,,100.0%,,,100.0%,,,100.0%,,,100.0%,OK,0
12,BS_EDGE3,780,594,76.2%,121,90,74.4%,7,6,85.7%,614,614,100.0%,0,0,100.0%,OK,0
13,BS_EDGE4,776,618,79.6%,168,137,81.5%,3,3,100.0%,1901,633,33.3%,0,0,100.0%,WARN,139264
15,BS_EDGE6,778,443,56.9%,204,157,77.0%,4,3,75.0%,503,503,100.0%,0,0,100.0%,WARN,131088
18,BS_EDGE5,0,0,100.0%,92,77,83.7%,0,0,100.0%,90,90,100.0%,0,0,100.0%,OK,0
34,BS_EDGE7,778,396,50.9%,93,81,87.1%,9,9,100.0%,510,510,100.0%,0,0,100.0%,WARN,131088
54,BS_EDGE8,782,436,55.8%,116,83,71.6%,6,6,100.0%,816,816,100.0%,0,0,100.0%,WARN,131088
62,awangtest,0,0,100.0%,0,0,100.0%,0,0,100.0%,3,0,0.0%,0,0,100.0%,WARN,139264
4,SUB2_NQ,1015,802,79.0%,67,60,89.6%,7,7,100.0%,1020,1020,100.0%,0,0,100.0%,OK,0
5,NQ_EDGE1,,,100.0%,,,100.0%,,,100.0%,,,100.0%,,,100.0%,OK,0
6,NQ_EDGE2,,,100.0%,,,100.0%,,,100.0%,,,100.0%,,,100.0%,OK,0
11,NQ_EDGE3,797,704,88.3%,47,46,97.9%,5,5,100.0%,253,253,100.0%,0,0,100.0%,OK,0
14,NQ_EDGE4,790,769,97.3%,51,46,90.2%,5,5,100.0%,5008,607,12.1%,0,0,100.0%,WARN,139264
16,NQ_EDGE5,792,533,67.3%,45,41,91.1%,0,0,100.0%,354,354,100.0%,0,0,100.0%,WARN,131088
17,NQ_EDGE6,791,519,65.6%,40,36,90.0%,1,1,100.0%,340,340,100.0%,0,0,100.0%,WARN,131088
30,NQ_EDGE7,795,552,69.4%,43,41,95.3%,0,0,100.0%,513,513,100.0%,0,0,100.0%,WARN,131088
19,SUB3_XM,1015,962,94.8%,5,5,100.0%,0,0,100.0%,954,954,100.0%,0,0,100.0%,OK,0
20,XM_EDGE1,867,635,73.2%,47,45,95.7%,3,3,100.0%,316,316,100.0%,0,0,100.0%,OK,0
21,XM_EDGE2,852,614,72.1%,20,19,95.0%,3,3,100.0%,212,212,100.0%,0,0,100.0%,OK,0
