PID,POP名称,日点播数,日直播数,日录播数,日总数,点播回调,直播回调,录播回调,总回调,点播互助,直播互助,录播互助,总互助,点播回调率,直播回调率,录播回调率,总回调率,点播互助率,直播互助率,录播互助率,总互助率
,ALL_POP,4639622,516459,900979,6057060,,,,,,,,,,,,,,,,,0
1,CenterNode,17156,20551,328,38035,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0
2,sub_null,,,,0,,,,0,,,,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0
3,SUB1_BS,1301,1,16492,17794,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0
7,BS_EDGE1,,,,0,,,,0,,,,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0
8,BS_EDGE2,,,,0,,,,0,,,,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0
12,BS_EDGE3,83832,4487,15184,103503,2749,40,210,2999,16039,1097,3270,20406,3.28%,0.89%,1.38%,2.90%,19.13%,24.45%,21.54%,19.72%,0
13,BS_EDGE4,79599,3607,15598,98804,2932,26,151,3109,16526,611,3341,20478,3.68%,0.72%,0.97%,3.15%,20.76%,16.94%,21.42%,20.73%,0
15,BS_EDGE6,118485,5955,23262,147702,4650,63,201,4914,23636,318,1473,25427,3.92%,1.06%,0.86%,3.33%,19.95%,5.34%,6.33%,17.22%,0
18,BS_EDGE5,94072,5404,17920,117396,3347,57,199,3603,34679,336,1409,36424,3.56%,1.05%,1.11%,3.07%,36.86%,6.22%,7.86%,31.03%,2359296
34,BS_EDGE7,80869,3606,15321,99796,2804,74,73,2951,12118,596,2667,15381,3.47%,2.05%,0.48%,2.96%,14.98%,16.53%,17.41%,15.41%,0
54,BS_EDGE8,173793,8845,38510,221148,6176,90,444,6710,6620,799,2172,9591,3.55%,1.02%,1.15%,3.03%,3.81%,9.03%,5.64%,4.34%,0
62,awangtest,3,0,0,3,3,0,0,3,0,0,0,0,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,147456
