POP点,设备IP,允许并发数,最大用户数,EPG负荷,高峰用户数,日志级别
CenterNode,124.75.34.125,3800,0,0%,0,NORMAL,0
CenterNode,124.75.35.118,3800,54,1%,48,NORMAL,0
CenterNode,124.75.35.119,3800,71,2%,68,NORMAL,0
CenterNode,124.75.35.120,2000,0,0%,0,NORMAL,0
CenterNode,124.75.35.121,2000,0,0%,0,NORMAL,0
SUB1_BS,124.75.36.70,3800,51,1%,51,NORMAL,0
SUB1_BS,124.75.36.71,3800,43,1%,43,,64
BS_EDGE3,222.68.217.100,3800,2175,57%,2167,,64
BS_EDGE3,222.68.217.101,3800,2188,58%,2185,NORMAL,0
BS_EDGE4,222.68.205.228,3800,2076,55%,2076,NORMAL,0
BS_EDGE4,222.68.205.229,3800,2186,58%,2186,NORMAL,0
BS_EDGE6,218.83.183.244,3800,3048,80%,3048,NORMAL,24
BS_EDGE6,218.83.183.245,3800,3046,80%,3031,NORMAL,24
BS_EDGE5,218.83.183.228,3800,2459,65%,2444,NORMAL,0
BS_EDGE5,218.83.183.229,3800,2437,64%,2437,NORMAL,0
BS_EDGE7,218.83.168.244,3800,2011,53%,2011,NORMAL,0
BS_EDGE7,218.83.168.245,3800,2043,54%,2042,NORMAL,0
BS_EDGE8,101.95.77.121,8000,5190,65%,5190,NORMAL,0
BS_EDGE8,101.95.77.122,8000,5223,65%,5223,NORMAL,0
SUB2_NQ,124.75.38.70,3800,63,2%,63,NORMAL,0
SUB2_NQ,124.75.38.71,3800,66,2%,65,NORMAL,0
NQ_EDGE3,222.68.217.228,3800,2339,62%,2339,NORMAL,0
NQ_EDGE3,222.68.217.229,3800,2316,61%,2305,NORMAL,0
NQ_EDGE4,222.68.205.100,3800,2953,78%,2946,NORMAL,0
NQ_EDGE4,222.68.205.101,3800,2904,76%,2904,NORMAL,0
NQ_EDGE5,218.83.184.4,3800,2471,65%,2437,NORMAL,0
NQ_EDGE5,218.83.184.5,3800,2500,66%,2445,NORMAL,0
NQ_EDGE6,218.83.184.20,3800,2055,54%,2051,NORMAL,0
NQ_EDGE6,218.83.184.21,3800,2008,53%,2008,NORMAL,0
