POPID,POPNAME,SERVICE_TYPE,CONTENDID,CHANNEL_NAME,CALLBACK_NUM
3,SUB1_BS,TVOD,3221226104,高清新视觉,3
3,SUB1_BS,TVOD,3221226112,东方卫视(高清),3
3,SUB1_BS,TVOD,3221226189,兵团卫视,3
3,SUB1_BS,TVOD,3221226095,纪实频道-2.5M,1
3,SUB1_BS,TVOD,3221226106,CCTV-6-2.5M,1
4,SUB2_NQ,TVOD,3221226094,星尚-2.5M,35
4,SUB2_NQ,TVOD,3221226219,娱乐频道HD,23
4,SUB2_NQ,TVOD,3221225536,,12
4,SUB2_NQ,TVOD,3221226220,电视剧频道HD,7
4,SUB2_NQ,TVOD,3221225532,,4
4,SUB2_NQ,TVOD,3221226231,第一财经HD,3
4,SUB2_NQ,TVOD,3221226260,好享购,3
4,SUB2_NQ,TVOD,3221226228,央广购物,2
4,SUB2_NQ,TVOD,3221226082,CCTV-4-2.5M,1
4,SUB2_NQ,TVOD,3221226243,东方食味,1
9,PD_EDGE1,TVOD,3221226230,纪实频道HD,44
9,PD_EDGE1,TVOD,3221226204,深圳卫视,41
9,PD_EDGE1,TVOD,3221226141,全纪实-2.5M,27
9,PD_EDGE1,TVOD,3221226112,东方卫视(高清),25
9,PD_EDGE1,TVOD,3221226160,山东卫视-2.5M,14
9,PD_EDGE1,TVOD,3221225640,,8
9,PD_EDGE1,TVOD,3221226091,娱乐频道-2.5M,8
9,PD_EDGE1,TVOD,3221226077,炫动卡通-2.5M,2
9,PD_EDGE1,TVOD,3221226154,湖南卫视-2.5M,2
9,PD_EDGE1,TVOD,3221226155,CCTV-7-2.5M,1
10,PD_EDGE2,TVOD,3221226233,新闻综合HD,55
10,PD_EDGE2,TVOD,3221225664,,12
10,PD_EDGE2,TVOD,3221226260,好享购,7
10,PD_EDGE2,TVOD,3221226189,兵团卫视,6
10,PD_EDGE2,TVOD,3221226125,吉林卫视-2.5M,5
10,PD_EDGE2,TVOD,3221226144,贵州卫视-2.5M,5
10,PD_EDGE2,TVOD,3221225663,,2
10,PD_EDGE2,TVOD,3221226244,全纪实HD,2
10,PD_EDGE2,TVOD,3221225540,,1
10,PD_EDGE2,TVOD,3221225766,黑龙江卫视,1
11,NQ_EDGE3,TVOD,3221226233,新闻综合HD,266
11,NQ_EDGE3,TVOD,3221226231,第一财经HD,53
11,NQ_EDGE3,TVOD,3221226228,央广购物,36
11,NQ_EDGE3,TVOD,3221226187,新疆卫视,32
11,NQ_EDGE3,TVOD,3221226237,环球购物,30
11,NQ_EDGE3,TVOD,3221225497,,3
11,NQ_EDGE3,TVOD,3221225659,,2
11,NQ_EDGE3,TVOD,3221226078,CCTV-2-2.5M,2
11,NQ_EDGE3,TVOD,3221226100,东方电影-2.5M,1
11,NQ_EDGE3,TVOD,3221226111,浙江卫视(高清),1
12,BS_EDGE3,TVOD,3221226239,东方尚品,63
12,BS_EDGE3,TVOD,3221226137,重庆卫视-2.5M,53
12,BS_EDGE3,TVOD,3221226125,吉林卫视-2.5M,42
12,BS_EDGE3,TVOD,3221226228,央广购物,30
12,BS_EDGE3,TVOD,3221226151,四川卫视-2.5M,26
12,BS_EDGE3,TVOD,3221226105,CCTV-5-2.5M,15
12,BS_EDGE3,TVOD,3221226163,都市剧场-2.5M,13
12,BS_EDGE3,TVOD,3221226082,CCTV-4-2.5M,6
12,BS_EDGE3,TVOD,3221226139,生活时尚-2.5M,2
12,BS_EDGE3,TVOD,3221226202,东方购物-2,2
13,BS_EDGE4,TVOD,3221226187,新疆卫视,33
13,BS_EDGE4,TVOD,3221226125,吉林卫视-2.5M,29
13,BS_EDGE4,TVOD,3221226087,北京卫视(高清),24
13,BS_EDGE4,TVOD,3221225484,,7
13,BS_EDGE4,TVOD,3221225523,,6
13,BS_EDGE4,TVOD,3221225773,内蒙古卫视,3
13,BS_EDGE4,TVOD,3221226085,黑龙江卫视(高清),3
13,BS_EDGE4,TVOD,3221226193,直播室4,3
13,BS_EDGE4,TVOD,3221226219,娱乐频道HD,3
13,BS_EDGE4,TVOD,3221226164,CCTV-9-2.5M,1
14,NQ_EDGE4,TVOD,3221226110,江苏卫视(高清),105
14,NQ_EDGE4,TVOD,3221226231,第一财经HD,71
14,NQ_EDGE4,TVOD,3221226086,湖南卫视(高清),49
14,NQ_EDGE4,TVOD,3221226102,CCTV-1高清,49
14,NQ_EDGE4,TVOD,3221226206,直播室2,5
14,NQ_EDGE4,TVOD,3221226179,CCTV-高网-2.5M,4
14,NQ_EDGE4,TVOD,3221225640,,3
14,NQ_EDGE4,TVOD,3221226078,CCTV-2-2.5M,1
14,NQ_EDGE4,TVOD,3221226079,CCTV-1-2.5M,1
14,NQ_EDGE4,TVOD,3221226137,重庆卫视-2.5M,1
15,BS_EDGE6,TVOD,3221226228,央广购物,86
15,BS_EDGE6,TVOD,3221226090,东方卫视-2.5M,57
15,BS_EDGE6,TVOD,3221226104,高清新视觉,49
15,BS_EDGE6,TVOD,3221225664,,48
15,BS_EDGE6,TVOD,3221226089,新闻综合-2.5M,43
15,BS_EDGE6,TVOD,3221225669,,18
15,BS_EDGE6,TVOD,3221226082,CCTV-4-2.5M,9
15,BS_EDGE6,TVOD,3221225660,,3
15,BS_EDGE6,TVOD,3221225663,,2
15,BS_EDGE6,TVOD,3221226098,东方购物-2.5M,1
16,NQ_EDGE5,TVOD,3221226230,纪实频道HD,161
16,NQ_EDGE5,TVOD,3221226110,江苏卫视(高清),154
16,NQ_EDGE5,TVOD,3221226145,北京卫视-2.5M,125
16,NQ_EDGE5,TVOD,3221226087,北京卫视(高清),80
16,NQ_EDGE5,TVOD,3221226228,央广购物,70
16,NQ_EDGE5,TVOD,3221226237,环球购物,53
16,NQ_EDGE5,TVOD,3221226187,新疆卫视,23
