Thu Apr 28 11:13:32 CST 2016
NODENAME				 SPACEQUOTA  USEDSPACE	 USED_VOD  USED_TVOD
---------------------------------------- ---------- ---------- ---------- ----------
中心临时节点				  228816720	     0		0	   0
高生核心节点				  130698547  106567934	 90245228   16322706
浦东区域中心节点			   54272000   23161161	 11792346   11368815
浦东边缘USSPOP2_3_c(VOD区域)		   53412744   32387595	 27510911    4876684
南汇边缘USSPOP2_2_c			   61043136   35645059	 30815158    4829901
嘉定边缘USSPOP2_2_c			   59135538   41498175	 36734550    4763625
南汇边缘USSPOP3_1_c			   40059558   31708714	 26759298    4949416
浦东边缘USSPOP3_1_c			   43874754   32900908	 28027489    4873419
浦东边缘USSPOP3_2_c			   45782352   30662968	 25966078    4696890
东区区域中心节点			   51505146   40552869	 29249750   11303119
东区边缘USSPOP3_1_c			   42920976   29516082	 23195886    6320196
东区边缘USSPOP3_2_c			   42920955   34294582	 29064535    5230047
北区边缘USSPOP3_1_c			   42920955   35667922	 29812049    5855873
北区边缘USSPOP3_2_c			   44828553   35615363	 31082572    4532791
嘉定区域中心节点			   49597548   37706920	 27362881   10344039
嘉定边缘USSPOP3_1_c			   45782352   31701498	 26937881    4763617
北区区域中心节点			   54272000   33299743	 20573956   12725787
浦东三期POP2_1				   54272000   24800662	 24800662	   0
浦东三期POP2_2				   54272000   12243566	 12066787     176779
崇明三期POP2_1				   54272000   11105391	 10930071     175320
东区三期POP2_2				   54272000   30393607	 30217342     176265
北区三期POP2_2				   54272000   35453274	 35274866     178408
嘉定边缘USSPOP4_1_c			   44828553   28944273	 24179986    4764287
嘉定边缘USSPOP4_2_c			   40059558   31719531	 26955506    4764025
东区边缘USSPOP4_1_c			   62950734   46956708	 40908712    6047996
东区边缘USSPOP4_2_c			   62950734   35401783	 30548597    4853186
北区边缘USSPOP4_qy_c			   62950734   48057633	 36730697   11326936
北区边缘USSPOP4_2_c			   61996935   35010408	 29653841    5356567
南汇区域中心节点			   48643749   28697497	 17789596   10907901
南汇边缘USSPOP4_1_c			   50551347   39388791	 34560467    4828324
崇明边缘USSPOP4_1_c			   39105759   25126609	 19784918    5341691
浦东五期扩容pdpop4-1_c			   53412744   40770982	 35934940    4836042
浦东五期扩容pdpop4-2_c			   55320342   42338209	 37501970    4836239
西区区域中心节点			   61520005   39343556	 28569120   10774436
西区边缘USSPOP4_1_c			   31473447   20312666	 15031112    5281554
上海中继节点				     100000	  8743	     8743	   0
北京节点				     100000	 25121		1      25120
金山区域中心节点			   61043136   49697408	 38687999   11009409
松江区域中心节点			   61043136   48923261	 37807142   11116119
松江边缘USSPOP5_1_c			   31473387   24544711	 19142205    5402506
金山边缘USSPOP5_1_c			   30996517   19865053	 14583494    5281559
青浦区域中心节点			   61043136   47754705	 37780019    9974686
青浦边缘USSPOP5_1_c			   32904175   21076004	 15735202    5340802
东区边缘USSPOP5_1_c			   31473387   24917254	 20237476    4679778
嘉定边缘USSPOP5_1_c			   33381105   21432672	 16222460    5210212
北区边缘USSPOP5_1_c			   32904235   27658339	 22961139    4697200
崇明区域中心节点POP5_qy1_c		   62473804   48978032	 38316053   10661979
崇明边缘USSPOP5_1_c			   30996577   21425319	 15798955    5626364
浦东边缘USSPOP5_qy_c			   30996577   24413895	 13270197   11143698
东区三期POP2_1				   54272000    8721533	  8541959     179574
北区三期POP2_1				   54272000    9317183	  9140535     176648
南汇边缘USSPOP6_1_h			   56250777   43678785	 38914642    4764143
南汇边缘USSPOP6_2_h			   56727478   43777973	 39013515    4764458
北区边缘USSPOP6_4_h			   45763344   36400814	 31361314    5039500
青浦边缘USSPOP5_3_c			   62950734   46615966	 41344767    5271199
青浦边缘USSPOP5_4_c			   31950316   26881680	 21782441    5099239
北区边缘USSPOP6_2_h			   57204180   45445094	 40440342    5004752
南汇边缘USSPOP5_2_c			   61996935   45986845	 40644899    5341946
南汇边缘USSPOP5_1_c			   30996637   25313564	 19972517    5341047
东区边缘USSPOP5_2_c			   60089337   49356976	 44660376    4696600
北区边缘USSPOP5_2_c			   62950734   49914832	 45045860    4868972
浦东边缘USSPOP5_2_c			   61043136   50206265	 45369296    4836969
浦东边缘USSPOP5_3_c			   61996935   51297342	 46703537    4593805
浦东边缘USSPOP5_4_c			   62950734   51380381	 46683644    4696737
嘉定边缘USSPOP5_2_c			   57227940   48209831	 42929259    5280572
金山边缘USSPOP5_2_c			   61996935   44800914	 39612000    5188914
金山边缘USSPOP5_3_c			   57227940   42866860	 38103556    4763304
金山边缘USSPOP5_4_c			   60089337   45108259	 40344799    4763460
莘闵边缘USSPOP6_1_h			   57204180   44781060	 39498962    5282098
西区边缘USSPOP6_1_h			   56727478   43510197	 36131813    7378384
莘闵区域中心节点			   62950734   51181872	 41514068    9667804
莘闵边缘USSPOP5_1_c			   60089337   46071483	 40851087    5220396
莘闵边缘USSPOP5_2_c			   58181739   48457958	 43176375    5281583
莘闵边缘USSPOP5_6_c			   62950734   45804627	 41041530    4763097
莘闵边缘USSPOP5_3_c			   62950734   46073546	 41138289    4935257
莘闵边缘USSPOP5_5_c			   61996935   47879348	 43116110    4763238
莘闵边缘USSPOP5_4_c			   61996935   47919291	 43154476    4764815
奉贤区域中心节点			   61043136   50082632	 40114546    9968086
奉贤边缘USSPOP5_1			   62950734   43684828	 38403406    5281422
奉贤边缘USSPOP5_2			   61996935   44563453	 39282468    5280985
奉贤边缘USSPOP5_3			   62950734   42766564	 38004156    4762408
浦东边缘USSPOP6_1_h			   57204180   52969893	 47697245    5272648
浦东边缘USSPOP6_2_h			   57204180   49594036	 41881748    7712288
东区边缘USSPOP6_1_h			   57204180   45210135	 39075058    6135077
东区边缘USSPOP6_2_h			   56250777   44997463	 37282359    7715104
东区边缘USSPOP6_4_h			   45763344    7377322	  2276921    5100401
松江边缘USSPOP5_4_c			   61996935   47905433	 42381837    5523596
松江边缘USSPOP5_5_c			   62950734   48567179	 43104629    5462550
东区边缘USSPOP6_5_h			   28602090	     0		0	   0
西区区域中心节点6.5期			   62950734   50537540	 39937952   10599588
西区边缘USSPOP5_1_c			   62950734   44477717	 39024998    5452719
西区边缘USSPOP5_3_c			   62950734   43834043	 38553646    5280397
西区边缘USSPOP5_5_c			   62950734   42687441	 37407364    5280077
西区边缘USSPOP5_6_c			   62950734   45323900	 40078881    5245019
西区边缘USSPOP5_7_c			   62950734   44504356	 39222594    5281762
西区边缘USSPOP5_9_c			   60059530   45067840	 39786331    5281509
西区边缘USSPOP5_10_c			   62950734   45397922	 40151475    5246447
松江边缘USSPOP5_2_c			   61996935   47053991	 41712600    5341391
青浦边缘USSPOP5_2_c			   61043136   46409104	 41068422    5340682
松江边缘USSPOP5_3_c			   62950734   46033673	 40508240    5525433
西区边缘USSPOP5_2_c			   62950734   44490275	 39037379    5452896
西区边缘USSPOP5_4_c			   62950734   44806986	 39526275    5280711
西区边缘USSPOP5_8_c			   62935830   44471835	 39225794    5246041
西区边缘USSPOP5_11_c			   61996935   43976398	 38696229    5280169
北区边缘USSPOP6_1_h			   55774075   44293896	 35482911    8810985
temp临时节点					  0	     0		0	   0


