查询_8000C码率查询_20160325133831
测量类型:,码率级别 
查询时间:,2016-03-25 00:00:00 - 2016-03-26 00:00:00
制表人:,admin
制表时间:,2016-03-25 13:38:31
序号,开始时间,结束时间,查询粒度,网元位置,VOD用户数,VOD流量(kbps),TVOD用户数,TVOD流量(kbps),TSTV用户数,TSTV流量(kbps)
1,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_1",423,1066600,358,780048,101,339208
2,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_2",514,1197400,355,703608,147,424056
3,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-1",104,296800,237,437144,0,0
4,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-2",428,1034100,377,734992,137,424648
5,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-1",559,1350700,405,788480,98,324336
6,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-2",608,1496600,449,932304,173,528992
7,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=cmpop4-1",295,642300,164,296600,91,248176
8,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-1",546,1113500,362,667312,176,460768
9,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-qy",404,726000,141,264912,90,244368
10,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_1",551,1221300,456,895568,134,414080
11,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_2",184,436300,224,421496,75,234056
12,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_qy",253,570800,174,347608,60,209424
13,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-1",384,935700,395,801264,124,403688
14,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-2",478,1114700,438,771104,146,429664
15,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-1",590,1341000,426,867760,164,527144
16,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-2",556,1329100,454,886720,170,511472
17,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-1",651,1556100,431,815392,126,373448
18,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-2",662,1562500,404,735048,147,462096
19,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-3",248,630000,160,316640,43,136768
20,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-qy",2,9600,89,156768,14,36368
